design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
5019,56.99,Roll,1,1,20.5,11,,,,,12.6,,Straight,,9
34365,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
42558,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
44674,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
44805,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
804301,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD0107,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0108,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0137,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0151,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD016,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD01600,56.99,Roll,1,1,20.5,11,,,,,12.6,,Straight,,9
RD03010,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0602,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0630,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0647,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0648,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD0655,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD06671,109.99,Roll,1,1,40.5,7.5,,,,,,,Straight,,9
RD06681,109.99,Roll,1,1,40.5,7.5,,,,,,,Straight,,9
RD0669,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD06700,109.99,Roll,1,1,40.5,7.5,,,,,,,Straight,,9
RD0671,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD06730,109.99,Roll,1,1,40.5,7.5,,,,,,,Straight,,9
RD100,42.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD101,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD124,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD125,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD126,56.99,Roll,1,1,20.5,11,,,,,25.2,,Offset,,9
RD134,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD165,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD169,42.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD171,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD314,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD333,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD335,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD336,42.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD340,42.99,Roll,1,1,20.5,11,,,,,3.5,,Straight,,9
RD341,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD353,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD385,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD388,42.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD392,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD393,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD4000,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD4009,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD4012,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD5010,109.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5011,109.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5012,109.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5013,109.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5030,109.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5301,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5302,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5303,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5305,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5306,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD5307,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD576,56.99,Roll,1,1,20.5,11,,,,,4.9,,Offset,,9
RD7000,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD7040,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD7100,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD7110,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD7120,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD7150,42.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD750,56.99,Roll,1,1,20.5,11,,,,,32,,Offset,,9
RD751,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80000,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD80005,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD80009,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80011,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD80026,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD80027,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
RD80028,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
RD80029,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
RD80097,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80098,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80099,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80100,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD80101,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD80103,65.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD803,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
RD812,56.99,Roll,1,1,20.5,11,,,,,,,Offset,,9
RD819,56.99,Roll,1,1,20.5,11,,,,,25.2,,Straight,,9
RD838,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD84578,65.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD881,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD914,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD920,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD965,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD968,56.99,Roll,1,1,20.5,11,,,,,,,Straight,,9
RD974,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD995,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
RD996,56.99,Roll,1,1,20.5,11,,,,,,,Free,,9
