design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
AF101,60.00,Yard,1,6,36,6,,,,,,,,,9
AF102,60.00,Yard,1,6,36,6,,,,,,,,,9
AF103,60.00,Yard,1,11,36,11,,,,,,,,,15
AF104,60.00,Yard,1,11,36,11,,,,,,,,,15
AF105,60.00,Yard,1,11,36,11,,,,,,,,,15
AF106,60.00,Yard,1,11,36,11,,,,,,,,,15
AF107,60.00,Yard,1,11,36,11,,,,,,,,,15
AF108,60.00,Yard,1,11,36,11,,,,,,,,,15
AF109,60.00,Yard,1,11,36,11,,,,,,,,,15
AF110,60.00,Yard,1,6,36,6,,,,,,,,,9
AF111,60.00,Yard,1,6,36,6,,,,,,,,,9
AF112,60.00,Yard,1,6,36,6,,,,,,,,,9
AF113,60.00,Yard,1,11,36,11,,,,,,,,,15
AF114,60.00,Yard,1,11,36,11,,,,,,,,,15
AF115,60.00,Yard,1,11,36,11,,,,,,,,,15
AF116,60.00,Yard,1,11,36,11,,,,,,,,,15
AF117,60.00,Yard,1,11,36,11,,,,,,,,,15
AF118,60.00,Yard,1,11,36,11,,,,,,,,,15
AF119,60.00,Yard,1,11,36,11,,,,,,,,,15
AF120,60.00,Yard,1,11,36,11,,,,,,,,,15
AF121,60.00,Yard,1,11,36,11,,,,,,,,,15
AF122,60.00,Yard,1,11,36,11,,,,,,,,,15
AF123,60.00,Yard,1,11,36,11,,,,,,,,,15
AF124,60.00,Yard,1,11,36,11,,,,,,,,,15
