design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
ED101,188.50,Roll,1,1,36,8,,,,,,,,,5
ED102,188.50,Roll,1,1,36,8,,,,,,,,,5
ED103,154.70,Roll,1,1,36,8,,,,,,,,,5
ED104,188.50,Roll,1,1,36,8,,,,,,,,,5
ED105,154.70,Roll,1,1,36,8,,,,,,,,,5
ED106,154.70,Roll,1,1,36,8,,,,,,,,,5
ED107,139.10,Roll,1,1,36,8,,,,,,,,,5
ED108,139.10,Roll,1,1,36,8,,,,,,,,,5
ED109,257.40,Roll,1,1,36,11,,,,,,,,,9
ED110,188.50,Roll,1,1,36,8,,,,,,,,,5
ED111,234.00,Roll,1,1,36,11,,,,,,,,,9
ED112,139.10,Roll,1,1,36,8,,,,,,,,,5
ED113,257.40,Roll,1,1,36,11,,,,,,,,,9
ED114,396.50,Roll,1,1,36,8,,,,,,,,,5
ED115,396.50,Roll,1,1,36,8,,,,,,,,,5
ED116,114.40,Roll,1,1,36,8,,,,,,,,,5
ED117,396.50,Roll,1,1,36,8,,,,,,,,,5
ED118,380.90,Roll,1,1,36,8,,,,,,,,,5
ED119,380.90,Roll,1,1,36,8,,,,,,,,,5
ED120,396.50,Roll,1,1,36,8,,,,,,,,,5
ED121,237.81,Roll,1,1,36,8,,,,,,,,,5
ED122,111.80,Roll,1,1,36,8,,,,,,,,,5
ED123,111.80,Roll,1,1,36,8,,,,,,,,,5
ED124,139.10,Roll,1,1,36,8,,,,,,,,,5
ED125,148.20,Roll,1,1,36,8,,,,,,,,,11
ED126,148.20,Roll,1,1,36,8,,,,,,,,,11
ED127,139.10,Roll,1,1,36,8,,,,,,,,,11
ED128,174.20,Roll,1,1,36,8,,,,,,,,,5
ED129,174.20,Roll,1,1,36,8,,,,,,,,,5
ED130,174.20,Roll,1,1,36,8,,,,,,,,,5
ED131,174.20,Roll,1,1,36,8,,,,,,,,,5
ED132,174.20,Roll,1,1,36,8,,,,,,,,,5
ED133,269.10,Roll,1,1,36,11,,,,,,,,,9
ED134,269.10,Roll,1,1,36,11,,,,,,,,,9
ED135,101.40,Roll,1,1,36,8,,,,,,,,,5
ED136,101.40,Roll,1,1,36,8,,,,,,,,,5
ED137,133.90,Roll,1,1,36,8,,,,,,,,,5
ED138,145.60,Roll,1,1,36,8,,,,,,,,,5
ED139,70.20,Roll,1,1,36,8,,,,,,,,,5
ED140,61.10,Roll,1,1,36,8,,,,,,,,,5
ED141,98.80,Roll,1,1,36,8,,,,,,,,,5
ED142,94.90,Roll,1,1,36,8,,,,,,,,,5
ED143,145.60,Roll,1,1,36,8,,,,,,,,,5
ED144,157.30,Roll,1,1,36,8,,,,,,,,,5
ED145,153.40,Roll,1,1,36,8,,,,,,,,,5
ED146,211.90,Roll,1,1,36,8,,,,,,,,,5
ED147,193.70,Roll,1,1,36,8,,,,,,,,,5
ED148,211.90,Roll,1,1,36,8,,,,,,,,,5
ED149,141.70,Roll,1,1,36,8,,,,,,,,,5
ED150,165.10,Roll,1,1,36,8,,,,,,,,,5
ED151,195.00,Roll,1,1,36,8,,,,,,,,,5
ED152,150.80,Roll,1,1,36,8,,,,,,,,,5
ED153,94.90,Roll,1,1,36,8,,,,,,,,,5
ED154,107.90,Roll,1,1,36,8,,,,,,,,,5
ED155,94.90,Roll,1,1,36,8,,,,,,,,,5
ED156,94.90,Roll,1,1,36,8,,,,,,,,,5
ED157,211.90,Roll,1,1,36,8,,,,,,,,,5
ED158,94.90,Roll,1,1,36,8,,,,,,,,,5
ED159,158.60,Roll,1,1,36,8,,,,,,,,,5
ED160,94.90,Roll,1,1,36,8,,,,,,,,,5
ED161,158.60,Roll,1,1,36,8,,,,,,,,,5
ED162,94.90,Roll,1,1,36,8,,,,,,,,,5
ED163,94.90,Roll,1,1,36,8,,,,,,,,,5
ED164,94.90,Roll,1,1,36,8,,,,,,,,,5
