design_sku,price_code,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
ER101,P,722.00,Roll,1,1,36,12,,,,,,,,,5
ER102,P,722.00,Roll,1,1,36,12,,,,,,,,,5
ER103,O,684.00,Roll,1,1,36,12,,,,,,,,,5
ER104,O,684.00,Roll,1,1,36,12,,,,,,,,,5
ER105,P,722.00,Roll,1,1,36,12,,,,,,,,,5
ER106,P,722.00,Roll,1,1,36,12,,,,,,,,,5
ER107,O,684.00,Roll,1,1,36,12,,,,,,,,,5
ER108,L,470.00,Roll,1,1,36,8,,,,,,,,,5
ER109,L,470.00,Roll,1,1,36,8,,,,,,,,,5
ER110,L,470.00,Roll,1,1,36,8,,,,,,,,,5
ER111,L,470.00,Roll,1,1,36,8,,,,,,,,,5
ER112,M,491.00,Roll,1,1,36,12,,,,,,,,,5
ER113,M,491.00,Roll,1,1,36,12,,,,,,,,,5
ER114,N,625.00,Roll,1,1,36,12,,,,,,,,,5
ER115,N,625.00,Roll,1,1,36,12,,,,,,,,,5
ER116,N,625.00,Roll,1,1,36,12,,,,,,,,,5
ER117,I,260.00,Roll,1,1,36,8,,,,,,,,,5
ER118,I,260.00,Roll,1,1,36,8,,,,,,,,,5
ER119,K,297.00,Roll,1,1,36,8,,,,,,,,,5
ER120,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER121,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER122,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER123,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER124,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER125,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER126,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER127,I,260.00,Roll,1,1,36,8,,,,,,,,,5
ER128,I,260.00,Roll,1,1,36,8,,,,,,,,,5
ER129,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER130,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER131,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER132,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER133,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER134,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER135,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER136,D,202.00,Roll,1,1,36,8,,,,,,,,,5
ER137,A,206.00,Roll,1,1,36,8,,,,,,,,,5
ER138,A,206.00,Roll,1,1,36,8,,,,,,,,,5
ER139,A,206.00,Roll,1,1,36,8,,,,,,,,,5
ER140,A,206.00,Roll,1,1,36,8,,,,,,,,,5
ER141,A,206.00,Roll,1,1,36,8,,,,,,,,,5
ER142,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER143,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER144,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER145,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER146,B,200.00,Roll,1,1,36,8,,,,,,,,,5
ER147,C,208.00,Roll,1,1,36,8,,,,,,,,,5
ER148,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER149,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER150,E,191.00,Roll,1,1,36,8,,,,,,,,,5
ER151,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER152,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER153,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER154,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER155,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER156,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER157,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER158,G,245.00,Roll,1,1,36,8,,,,,,,,,5
ER159,G,245.00,Roll,1,1,36,8,,,,,,,,,5
ER160,G,245.00,Roll,1,1,36,8,,,,,,,,,5
ER161,G,245.00,Roll,1,1,36,8,,,,,,,,,5
ER162,H,297.00,Roll,1,1,36,8,,,,,,,,,5
ER163,F,228.00,Roll,1,1,36,8,,,,,,,,,5
ER164,J,255.00,Roll,1,1,36,8,,,,,,,,,5
ER165,J,255.00,Roll,1,1,36,8,,,,,,,,,5
ER166,J,255.00,Roll,1,1,36,8,,,,,,,,,5
