design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
MI601,59.50,Yard,1,4,36,55,,,,,,,Random,,6
MI602,59.50,Yard,1,4,36,55,,,,,,,Random,,6
MI603,59.50,Yard,1,4,54,55,,,,,,,Straight,,6
MI604,26.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI605,26.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI606,49.00,Yard,1,4,54,55,,,,,,,Straight,,6
MI607,36.85,Yard,1,4,36,55,,,,,,,Straight,,6
MI608,46.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI609,55.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI610,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI611,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI612,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI613,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI614,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI615,57.25,Yard,1,11,36,11,,,,,,,Straight,,6
MI616,42.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI617,52.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI618,25.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI619,25.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI620,25.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI621,20.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI622,25.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI623,27.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI624,27.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI625,27.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI626,27.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI627,34.90,Yard,1,10,54,55,,,,,,,Straight,,6
MI628,34.90,Yard,1,10,54,55,,,,,,,Straight,,6
MI629,34.90,Yard,1,10,54,55,,,,,,,Straight,,6
MI630,34.90,Yard,1,10,54,55,,,,,,,Straight,,6
MI631,34.90,Yard,1,10,54,55,,,,,,,Straight,,6
MI632,20.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI633,59.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI634,59.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI635,59.00,Yard,1,4,36,55,,,,,,,Straight,,6
MI636,42.90,Yard,1,4,54,55,,,,,,,Straight,,6
MI637,42.90,Yard,1,4,54,55,,,,,,,Straight,,6
MI638,39.90,Yard,1,4,54,55,,,,,,,Straight,,6
MI639,39.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI640,39.00,Yard,1,4,54,55,,,,,,,Straight,,6
MI641,39.00,Yard,1,4,54,55,,,,,,,Straight,,6
MI642,32.90,Yard,1,4,36,55,,,,,,,Straight,,6
MI643,32.90,Yard,1,4,36,55,,,,,,,Straight,,6
