design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
SN101,184.99,Roll,1,1,36,8,,,,,,,,,14
SN102,162.00,Roll,1,1,36,8,,,,,,,,,14
SN103,162.00,Roll,1,1,36,8,,,,,,,,,14
SN104,222.75,Roll,1,1,36,8,,,,,,,,,14
SN105,222.75,Roll,1,1,36,8,,,,,,,,,14
SN106,255.83,Roll,1,1,36,8,,,,,,,,,14
SN107,240.30,Roll,1,1,36,8,,,,,,,,,14
SN108,106.65,Roll,1,1,36,8,,,,,,,,,14
SN109,116.24,Roll,1,1,36,8,,,,,,,,,14
SN110,372.60,Roll,1,1,36,8,,,,,,,,,14
SN111,222.75,Roll,1,1,36,8,,,,,,,,,14
SN112,222.75,Roll,1,1,36,8,,,,,,,,,14
SN113,93.15,Roll,1,1,36,8,,,,,,,,,14
SN114,155.25,Roll,1,1,36,8,,,,,,,,,14
SN115,357.75,Roll,1,1,36,8,,,,,,,,,14
SN116,93.15,Roll,1,1,36,8,,,,,,,,,14
SN117,139.05,Roll,1,1,36,8,,,,,,,,,14
SN118,74.25,Roll,1,1,36,8,,,,,,,,,14
SN119,255.83,Roll,1,1,36,8,,,,,,,,,14
SN120,201.15,Roll,1,1,36,8,,,,,,,,,14
SN121,328.05,Roll,1,1,36,8,,,,,,,,,14
SN122,255.83,Roll,1,1,36,8,,,,,,,,,14
SN123,106.65,Roll,1,1,36,8,,,,,,,,,14
SN124,139.05,Roll,1,1,36,8,,,,,,,,,14
SN125,93.15,Roll,1,1,36,8,,,,,,,,,14
SN126,155.25,Roll,1,1,36,8,,,,,,,,,14
SN127,357.75,Roll,1,1,36,8,,,,,,,,,14
SN128,148.50,Roll,1,1,36,8,,,,,,,,,14
SN129,357.75,Roll,1,1,36,8,,,,,,,,,14
SN130,201.15,Roll,1,1,36,8,,,,,,,,,14
SN131,222.75,Roll,1,1,36,8,,,,,,,,,14
SN132,222.75,Roll,1,1,36,8,,,,,,,,,14
SN133,155.25,Roll,1,1,36,8,,,,,,,,,14
SN134,255.83,Roll,1,1,36,8,,,,,,,,,14
SN135,106.65,Roll,1,1,36,8,,,,,,,,,14
SN136,182.25,Roll,1,1,36,8,,,,,,,,,14
SN137,182.25,Roll,1,1,36,8,,,,,,,,,14
SN138,182.25,Roll,1,1,36,8,,,,,,,,,14
SN139,182.25,Roll,1,1,36,8,,,,,,,,,14
SN140,182.25,Roll,1,1,36,8,,,,,,,,,14
SN141,184.95,Roll,1,1,36,8,,,,,,,,,14
SN142,226.05,Roll,1,1,36,8,,,,,,,,,14
SN143,226.05,Roll,1,1,36,8,,,,,,,,,14
SN144,226.05,Roll,1,1,36,8,,,,,,,,,14
SN145,222.75,Roll,1,1,36,8,,,,,,,,,14
SN146,222.75,Roll,1,1,36,8,,,,,,,,,14
