design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
SI-1000,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1001,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1002,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1003,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1004,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1005,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1006,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1007,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1008,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1009,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1010,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1011,426.74,Roll,1,3,36,8,,,,,,,Random,,3
SI-1012,426.74,Roll,1,3,36,8,,,,,,,Random,,3
SI-1013,426.74,Roll,1,3,36,8,,,,,,,Random,,3
SI-1014,391.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1015,391.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1016,558.9,Roll,1,3,36,8,,,,,,,Random,,3
SI-1017,558.9,Roll,1,3,36,8,,,,,,,Random,,3
SI-1018,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1019,459.27,Roll,1,3,36,8,,,,,,,Random,,3
SI-1020,424.02,Roll,1,3,36,8,,,,,,,Random,,3
SI-1021,424.02,Roll,1,3,36,8,,,,,,,Random,,3
SI-1022,459.27,Roll,1,3,36,8,,,,,,,Random,,3
SI-1023,536.91,Roll,1,3,36,8,,,,,,,Random,,3
SI-1024,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1025,444.53,Roll,1,3,36,8,,,,,,,Random,,3
SI-1026,426.74,Roll,1,3,36,8,,,,,,,Random,,3
SI-1027,426.74,Roll,1,3,36,8,,,,,,,Random,,3
SI-1028,459.27,Roll,1,3,36,8,,,,,,,Random,,3
SI-1029,459.27,Roll,1,3,36,8,,,,,,,Random,,3
SI-1030,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1031,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1032,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1033,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1034,368.16,Roll,1,3,36,8,,,,,,,Random,,3
SI-1035,368.16,Roll,1,3,36,8,,,,,,,Random,,3
