design_sku,price,sale_unit,sale_quantity,minimum_quantity,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
SM01,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM02,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM03,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM04,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM05,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM06,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM07,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM08,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM09,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM10,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM11,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM12,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM13,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM14,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM15,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM16,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM17,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM18,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM19,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM20,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM21,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM22,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM23,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM24,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM25,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM26,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM27,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM28,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM29,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM30,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM31,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM32,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM33,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM34,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM35,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM36,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM37,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM38,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM39,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM40,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM41,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM42,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM43,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM44,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
SM45,57.25,Yard,1,4,Woven,54,50,,,,,,,Random,,1.25
