design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
VC0801,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0802,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0803,265.00,Roll,1,1,30,15,,,,,,32,Straight,27,13
VC0804,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0805,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0806,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0807,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0808,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0809,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0810,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0811,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0812,265.00,Roll,1,1,30,15,,,,,,32,Straight,27,13
VC0813,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0814,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0815,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0816,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0817,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0818,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0819,265.00,Roll,1,1,30,15,,,,,,32,Straight,27,13
VC0820,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0821,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0822,265.00,Roll,1,1,30,15,,,,,,30,Straight,27,13
VC0823,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0824,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0825,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0826,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0827,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0828,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0829,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0830,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0831,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0832,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0833,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0834,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0835,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0836,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0837,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0838,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0839,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0840,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0841,265.00,Roll,1,1,30,15,,,,,,30,Straight,27,13
VC0842,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0843,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0844,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0845,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0846,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0847,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0848,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0849,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0850,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0851,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0852,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0853,265.00,Roll,1,1,30,15,,,,,,36,Straight,27,13
VC0854,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
VC0855,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
VC0856,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
VC0857,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
VC0858,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
VC0859,265.00,Roll,1,1,30,15,,,,,,39,Straight,27,13
