design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
VV101,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV102,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV103,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV104,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV105,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV106,265.00,Roll,1,1,30,15,,,,,27,41,Straight,27,6
VV108,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV109,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV110,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV111,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV112,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV113,265.00,Roll,1,1,30,15,,,,,26.5,31.5,Straight,26.5,6
VV114,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV115,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV116,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV117,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV118,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV119,265.00,Roll,1,1,30,15,,,,,27,36,Straight,27,6
VV120,265.00,Roll,1,1,30,15,,,,,27,27.25,Straight,27,6
VV121,265.00,Roll,1,1,30,15,,,,,27,27.25,Straight,27,6
VV122,265.00,Roll,1,1,30,15,,,,,27,27.25,Straight,27,6
VV123,265.00,Roll,1,1,30,15,,,,,27,27.25,Straight,27,6
VV124,265.00,Roll,1,1,30,15,,,,,27,27.25,Straight,27,6
VV125,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV126,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV127,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV128,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV129,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV130,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV131,265.00,Roll,1,1,30,15,,,,,27,25.5,Straight,27,6
VV132,265.00,Roll,1,1,30,15,,,,,27,25.5,Straight,27,6
VV133,265.00,Roll,1,1,30,15,,,,,27,25.5,Straight,27,6
VV134,265.00,Roll,1,1,30,15,,,,,27,25.5,Straight,27,6
VV135,265.00,Roll,1,1,30,15,,,,,27,25.5,Straight,27,6
VV136,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV137,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV138,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV139,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV140,265.00,Roll,1,1,30,15,,,,,27,39,Straight,27,6
VV141,265.00,Roll,1,1,30,15,,,,,24.5,24,Straight,24.5,6
VV142,265.00,Roll,1,1,30,15,,,,,24.5,24,Straight,24.5,6
VV143,265.00,Roll,1,1,30,15,,,,,24.5,24,Straight,24.5,6
VV144,265.00,Roll,1,1,30,15,,,,,24.5,24,Straight,24.5,6
VV145,265.00,Roll,1,1,30,15,,,,,28,32.5,Straight,28,6
VV146,265.00,Roll,1,1,30,15,,,,,28,32.5,Straight,28,6
VV147,265.00,Roll,1,1,30,15,,,,,28,32.5,Straight,28,6
VV148,265.00,Roll,1,1,30,15,,,,,28,32.5,Straight,28,6
VV149,265.00,Roll,1,1,30,15,,,,,27,32,Straight,27,6
VV150,265.00,Roll,1,1,30,15,,,,,27,32,Straight,27,6
VV151,265.00,Roll,1,1,30,15,,,,,27,32,Straight,27,6
VV152,265.00,Roll,1,1,30,15,,,,,27,32,Straight,27,6
VV153,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV154,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV155,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV156,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV157,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV158,265.00,Roll,1,1,30,15,,,,,27,35,Straight,27,6
VV159,265.00,Roll,1,1,30,15,,,,,27,43.5,Straight,27,6
VV160,265.00,Roll,1,1,30,15,,,,,27,43.5,Straight,27,6
VV161,265.00,Roll,1,1,30,15,,,,,27,43.5,Straight,27,6
VV162,265.00,Roll,1,1,30,15,,,,,27,43.5,Straight,27,6
