design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
AD210,9.99,Square Foot,1,1,,,,,,,26,35.4,Straight,52,0.1
AD210,9.99,Square Foot,1,1,,,,,,,26,35.4,Straight,52,0.1
AD210,9.99,Square Foot,1,1,,,,,,,26,35.4,Straight,52,0.1
AD211,9.99,Square Foot,1,1,,,,,,,8.1,15.43,Straight,48.64,0.1
AD211,9.99,Square Foot,1,1,,,,,,,8.1,15.43,Straight,48.64,0.1
AD211,9.99,Square Foot,1,1,,,,,,,8.1,15.43,Straight,48.64,0.1
AD212,9.99,Square Foot,1,1,,,,,,,36.14,34.17,Straight,36.14,0.1
AD212,9.99,Square Foot,1,1,,,,,,,36.14,34.17,Straight,36.14,0.1
AD212,9.99,Square Foot,1,1,,,,,,,36.14,34.17,Straight,36.14,0.1
AD213,9.99,Square Foot,1,1,,,,,,,25,17.17,Straight,50,0.1
AD213,9.99,Square Foot,1,1,,,,,,,25,17.17,Straight,50,0.1
AD213,9.99,Square Foot,1,1,,,,,,,25,17.17,Straight,50,0.1
AD214,9.99,Square Foot,1,1,,,,,,,12,14.47,Straight,48,0.1
AD214,9.99,Square Foot,1,1,,,,,,,12,14.47,Straight,48,0.1
AD214,9.99,Square Foot,1,1,,,,,,,12,14.47,Straight,48,0.1
AD215,9.99,Square Foot,1,1,,,,,,,23.44,18.166,Straight,46.89,0.1
AD215,9.99,Square Foot,1,1,,,,,,,23.44,18.166,Straight,46.89,0.1
AD215,9.99,Square Foot,1,1,,,,,,,23.44,18.166,Straight,46.89,0.1
AD216,9.99,Square Foot,1,1,,,,,,,25.27,13.19,Straight,50.54,0.1
AD216,9.99,Square Foot,1,1,,,,,,,25.27,13.19,Straight,50.54,0.1
AD216,9.99,Square Foot,1,1,,,,,,,25.27,13.19,Straight,50.54,0.1
AD217,9.99,Square Foot,1,1,,,,,,,9.96,10,Straight,49.79,0.1
AD217,9.99,Square Foot,1,1,,,,,,,9.96,10,Straight,49.79,0.1
AD217,9.99,Square Foot,1,1,,,,,,,9.96,10,Straight,49.79,0.1
AD218,9.99,Square Foot,1,1,,,,,,,13,17.7,Straight,52,0.1
AD218,9.99,Square Foot,1,1,,,,,,,13,17.7,Straight,52,0.1
AD218,9.99,Square Foot,1,1,,,,,,,13,17.7,Straight,52,0.1
AD219,9.99,Square Foot,1,1,,,,,,,26,4.333,Straight,52,0.1
AD219,9.99,Square Foot,1,1,,,,,,,26,4.333,Straight,52,0.1
AD219,9.99,Square Foot,1,1,,,,,,,26,4.333,Straight,52,0.1
