design_sku,sku,price,substrate
AD600,AD600-1,6.5,Paper
AD601,AD601-1,6.5,Paper
AD602,AD602-1,6.5,Paper
AD603,AD603-1,6.5,Paper
AD604,AD604-1,6.5,Paper
AD605,AD605-1,6.5,Paper
AD606,AD606-1,6.5,Paper
AD607,AD607-1,6.5,Paper
AD608,AD608-1,6.5,Paper
AD609,AD609-1,6.5,Paper
AD610,AD610-1,6.5,Paper
AD611,AD611-1,6.5,Paper
AD612,AD612-1,6.5,Paper
AD613,AD613-1,6.5,Paper
AD614,AD614-1,6.5,Paper
AD615,AD615-1,6.5,Paper
AD616,AD616-1,6.5,Paper
AD617,AD617-1,6.5,Paper
AD618,AD618-1,6.5,Paper
AD619,AD619-1,6.5,Paper
AD620,AD620-1,6.5,Paper
AD621,AD621-1,6.5,Paper
