design_sku,sku,price,substrate
AD309,AD309-1,7.50,Silver Mylar
AD309,AD309-2,7.50,Silver Mylar
AD309,AD309-3,7.50,Silver Mylar
AD310,AD310-1,7.50,Silver Mylar
AD310,AD310-2,7.50,Silver Mylar
AD310,AD310-3,7.50,Silver Mylar
AD311,AD311-1,7.50,Silver Mylar
AD311,AD311-2,7.50,Silver Mylar
AD311,AD311-3,7.50,Silver Mylar
AD312,AD312-1,7.50,White Mylar
AD312,AD312-2,7.50,White Mylar
AD312,AD312-3,7.50,White Mylar
AD313,AD313-1,7.50,White Mylar
AD313,AD313-2,7.50,White Mylar
AD313,AD313-3,7.50,White Mylar
AD314,AD314-1,7.50,White Mylar
AD314,AD314-2,7.50,White Mylar
AD314,AD314-3,7.50,White Mylar
AD315,AD315-1,7.50,Silver Mylar
AD315,AD315-2,7.50,Silver Mylar
AD315,AD315-3,7.50,Silver Mylar
AD316,AD316-1,7.50,Silver Mylar
AD316,AD316-2,7.50,Silver Mylar
AD316,AD316-3,7.50,Silver Mylar
AD317,AD317-1,7.50,Silver Mylar
AD317,AD317-2,7.50,Silver Mylar
AD317,AD317-3,7.50,Silver Mylar
AD318,AD318-1,7.50,White Mylar
AD318,AD318-2,7.50,White Mylar
AD318,AD318-3,7.50,White Mylar
AD319,AD319-1,7.50,Silver Mylar
AD319,AD319-2,7.50,Silver Mylar
AD319,AD319-3,7.50,Silver Mylar
AD320,AD320-1,7.50,White Mylar
AD320,AD320-2,7.50,White Mylar
AD320,AD320-3,7.50,White Mylar
