design_sku,sku,price,substrate
FP100,FP100-1,7.50,Silver Mylar
FP100,FP100-2,7.50,Silver Mylar
FP100,FP100-3,7.50,Silver Mylar
FP101,FP101-1,7.00,Matte Vinyl
FP101,FP101-2,7.00,Matte Vinyl
FP101,FP101-3,7.00,Matte Vinyl
FP102,FP102-1,7.00,Matte Vinyl
FP103,FP103-1,7.00,Matte Vinyl
FP104,FP104-1,7.00,Matte Vinyl
FP104,FP104-2,7.00,Matte Vinyl
FP105,FP105-1,7.00,Matte Vinyl
FP106,FP106-1,7.00,Matte Vinyl
FP107,FP107-1,7.00,Matte Vinyl
FP108,FP108-1,7.00,Matte Vinyl
FP109,FP109-1,7.00,Matte Vinyl
FP109,FP109-2,7.00,Matte Vinyl
FP109,FP109-3,7.00,Matte Vinyl
FP110,FP110-1,7.00,Matte Vinyl
FP111,FP111-1,7.50,Silver Mylar
FP112,FP112-1,7.00,Matte Vinyl
FP113,FP113-1,7.00,Matte Vinyl
FP114,FP114-1,7.00,Matte Vinyl
FP115,FP115-1,7.00,Matte Vinyl
FP116,FP116-1,7.00,Matte Vinyl
FP117,FP117-1,7.50,Silver Mylar
FP118,FP118-1,7.00,Matte Vinyl
FP118,FP118-2,7.00,Matte Vinyl
FP119,FP119-1,7.00,Matte Vinyl
FP119,FP119-2,7.00,Matte Vinyl
FP120,FP120-1,7.00,Matte Vinyl
FP121,FP121-1,7.50,Silver Mylar
FP122,FP122-1,7.00,Matte Vinyl
FP123,FP123-1,7.00,Matte Vinyl
FP124,FP124-1,7.00,Sonora
FP125,FP125-1,7.00,Matte Vinyl
FP126,FP126-1,7.50,White Mylar
FP127,FP127-1,7.00,Matte Vinyl
FP128,FP128-1,7.50,Silver Mylar
FP129,FP129-1,7.00,Sonora
FP130,FP130-1,7.00,Matte Vinyl
FP131,FP131-1,7.00,Matte Vinyl
FP132,FP132-1,7.00,Matte Vinyl
FP133,FP133-1,7.00,Sonora
FP146,FP146-1,7.50,Silver Mylar
FP147,FP147-1,7.00,Matte Vinyl
FP148,FP148-1,7.00,Matte Vinyl
FP149,FP149-1,7.00,Matte Vinyl
FP150,FP150-1,7.00,Sonora
FP151,FP151-1,7.00,Matte Vinyl
FP152,FP152-1,7.00,Matte Vinyl
FP153,FP153-1,7.00,Matte Vinyl
FP175,FP175-1,7.00,Matte Vinyl
FP176,FP176-1,7.00,Matte Vinyl
FP177,FP177-1,7.00,Matte Vinyl
FP178,FP178-1,7.00,Matte Vinyl
FP179,FP179-1,7.00,Matte Vinyl
FP180,FP180-1,7.00,Matte Vinyl
