design_sku,sku,price,substrate
AD330,AD330-1,7.50,Silver Spectre
AD330,AD330-2,7.50,Silver Spectre
AD330,AD330-3,7.50,Silver Spectre
AD331,AD331-1,7.50,Silver Spectre
AD331,AD331-2,7.50,Silver Spectre
AD331,AD331-3,7.50,Silver Spectre
AD332,AD332-1,7.50,Silver Spectre
AD332,AD332-2,7.50,Silver Spectre
AD332,AD332-3,7.50,Silver Spectre
AD333,AD333-1,7.50,Silver Spectre
AD333,AD333-2,7.50,Silver Spectre
AD333,AD333-3,7.50,Silver Spectre
AD334,AD334-1,7.50,Silver Spectre
AD334,AD334-2,7.50,Silver Spectre
AD334,AD334-3,7.50,Silver Spectre
AD335,AD335-1,7.50,Silver Spectre
AD335,AD335-2,7.50,Silver Spectre
AD335,AD335-3,7.50,Silver Spectre
AD336,AD336-1,7.50,Silver Spectre
AD336,AD336-2,7.50,Silver Spectre
AD336,AD336-3,7.50,Silver Spectre
AD337,AD337-1,7.50,Silver Spectre
AD337,AD337-2,7.50,Silver Spectre
AD337,AD337-3,7.50,Silver Spectre
AD338,AD338-2,7.50,Silver Spectre
AD338,AD338-1,7.50,Silver Spectre
AD338,AD338-3,7.50,Silver Spectre
