design_sku,sku,price,substrate
JA100,JA100-1,7.5,Silver Mylar
JA100,JA100-2,7.5,Silver Mylar
JA100,JA100-3,7.5,Silver Mylar
JA100,JA100-4,7,Sonora
JA100,JA100-5,7,Sonora
JA100,JA100-6,7.5,White Mylar
JA101,JA101-1,7.5,Silver Mylar
JA101,JA101-2,7.5,Silver Mylar
JA101,JA101-3,7.5,White Mylar
JA101,JA101-4,7.5,White Mylar
JA101,JA101-5,7.5,White Mylar
JA101,JA101-6,7,Topeka
JA101,JA101-7,7,Topeka
JA101,JA101-8,7,Topeka
JA101,JA101-9,7.5,Silver Mylar
JA102,JA102-1,7.5,Silver Mylar
JA102,JA102-2,7.5,Silver Mylar
JA102,JA102-3,7.5,Silver Mylar
JA102,JA102-4,7,Sonora
JA102,JA102-5,7,Sonora
JA102,JA102-6,7,Sonora
JA103,JA103-1,7.5,Silver Mylar
JA103,JA103-2,7.5,Silver Mylar
JA103,JA103-3,7.5,Silver Mylar
JA103,JA103-4,7,Sonora
JA103,JA103-5,7,Sonora
JA103,JA103-6,7.5,Silver Mylar
JA104,JA104-1,7.5,Silver Mylar
JA104,JA104-2,7.5,Silver Mylar
JA104,JA104-3,7.5,Silver Mylar
JA104,JA104-4,7.5,Silver Mylar
JA104,JA104-5,7.5,Silver Mylar
JA104,JA104-6,7.5,Silver Mylar
JA105,JA105-1,7.5,Silver Mylar
JA105,JA105-2,7.5,Silver Mylar
JA105,JA105-3,7.5,Silver Mylar
JA105,JA105-4,7.5,White Mylar
JA105,JA105-5,7.5,White Mylar
JA105,JA105-6,7.5,White Mylar
JA106,JA106-1,7,Topeka
JA106,JA106-2,7,Topeka
JA106,JA106-3,7.5,Topeka
JA106,JA106-4,7.5,Silver Mylar
JA106,JA106-5,7.5,Silver Mylar
JA106,JA106-6,7.5,Silver Mylar
