design_sku,sku,price,substrate
AD210,AD210-1,7.5,White Mylar
AD210,AD210-2,7.5,Black Mylar
AD210,AD210-3,7.5,Gold Mylar
AD212,AD212-1,7.5,Silver Mylar
AD212,AD212-2,7.5,White Mylar
AD212,AD212-3,7.5,Black Mylar
AD214,AD214-1,7.5,Silver Mylar
AD214,AD214-2,7.5,Silver Mylar
AD214,AD214-3,7.5,Silver Mylar
AD215,AD215-1,7.5,Silver Mylar
AD215,AD215-2,7.5,White Mylar
AD215,AD215-3,7.5,White Mylar
AD216,AD216-1,7.5,White Mylar
AD216,AD216-2,7.5,Gold Mylar
AD216,AD216-3,7.5,Gold Mylar
AD217,AD217-1,7.5,Gold Mylar
AD217,AD217-2,7.5,Silver Mylar
AD217,AD217-3,7.5,Black Mylar
AD218,AD218-1,7.5,Gold Mylar
AD218,AD218-2,7.5,Black Mylar
AD218,AD218-3,7.5,Gold Mylar
AD219,AD219-1,7.5,Silver Mylar
AD219,AD219-2,7.5,Silver Mylar
AD219,AD219-3,7.5,White Mylar
