design_sku,sku,price,substrate
AD211,AD211-1,7.5,Silver Mylar
AD211,AD211-2,7.5,Black Mylar
AD211,AD211-3,7.5,Gold Mylar
AD213,AD213-1,7.5,Silver Mylar
AD213,AD213-2,7.5,Gold Mylar
AD213,AD213-3,7.5,Silver Mylar
AD347,AD347-1,7.5,Gold Mylar
AD347,AD347-2,7.5,Silver Mylar
AD347,AD347-3,7.5,Silver Mylar
AD348,AD348-1,7.5,Silver Mylar
AD348,AD348-2,7.5,Silver Mylar
AD348,AD348-3,7.5,Silver Mylar
AD350,AD350-1,7.5,Silver Mylar
AD350,AD350-2,7.5,Silver Mylar
AD350,AD350-3,7.5,Silver Mylar
AD351,AD351-1,7.5,Silver Mylar
AD351,AD351-2,7.5,Silver Mylar
AD351,AD351-3,7.5,Silver Mylar
AD352,AD352-1,7.5,Silver Mylar
AD352,AD352-2,7.5,Silver Mylar
AD352,AD352-3,7.5,Silver Mylar
AD353,AD353-1,7.5,Silver Mylar
AD353,AD353-2,7.5,Gold Mylar
AD353,AD353-3,7.5,Silver Mylar
AD355,AD355-1,7.5,Silver Mylar
AD355,AD355-2,7.5,Silver Mylar
AD355,AD355-3,7.5,White Mylar
AD356,AD356-1,7.5,White Mylar
AD356,AD356-2,7.5,White Mylar
AD356,AD356-3,7.5,White Mylar
