design_sku,sku,price,substrate
AD303,AD303-1,7.5,Silver Spectre
AD303,AD303-2,7.5,Silver Spectre
AD303,AD303-3,7.5,Silver Spectre
AD304,AD304-1,7.5,Silver Spectre
AD304,AD304-2,7.5,Silver Spectre
AD304,AD304-3,7.5,Silver Spectre
AD305,AD305-1,7.5,Silver Spectre
AD305,AD305-2,7.5,Silver Spectre
AD305,AD305-3,7.5,Silver Spectre
AD306,AD306-1,7.5,Silver Spectre
AD306,AD306-2,7.5,Silver Spectre
AD306,AD306-3,7.5,Silver Spectre
AD307,AD307-1,7.5,Silver Spectre
AD307,AD307-2,7.5,Silver Spectre
AD307,AD307-3,7.5,Silver Spectre
AD308,AD308-1,7.5,Silver Spectre
AD308,AD308-2,7.5,Silver Spectre
AD308,AD308-3,7.5,Silver Spectre
