design_sku,sku,price,substrate
AD024,AD024-1,7,Matte Vinyl
AD024,AD024-2,7,Matte Vinyl
AD024,AD024-3,7,Matte Vinyl
AD030,AD030-1,7,Matte Vinyl
AD030,AD030-2,7.5,Gold Mylar
AD030,AD030-3,7,Matte Vinyl
AD031,AD031-1,7,Matte Vinyl
AD031,AD031-2,7,Matte Vinyl
AD031,AD031-3,7,Matte Vinyl
AD037,AD037-1,7,Matte Vinyl
AD037,AD037-2,7,Matte Vinyl
AD037,AD037-3,7,Matte Vinyl
AD038,AD038-1,7,Matte Vinyl
AD038,AD038-2,7,Matte Vinyl
AD038,AD038-3,7,Matte Vinyl
AD090,AD090-1,7.5,Brushed Copper Mylar
AD090,AD090-2,7,Matte Vinyl
AD090,AD090-3,7,Matte Vinyl
AD091,AD091-1,7,Matte Vinyl
AD091,AD091-2,7,Matte Vinyl
AD091,AD091-3,7,Matte Vinyl
AD092,AD092-1,7,Matte Vinyl
AD092,AD092-2,7,Matte Vinyl
AD092,AD092-3,7,Matte Vinyl
