design_sku,sku,price,substrate
AD252,AD252-1,7.5,White Mylar
AD252,AD252-2,7.5,White Mylar
AD252,AD252-3,7.5,White Mylar
AD253,AD253-1,7.5,White Mylar
AD253,AD253-2,7.5,White Mylar
AD253,AD253-3,7.5,White Mylar
AD254,AD254-1,7.5,White Mylar
AD254,AD254-2,7.5,White Mylar
AD254,AD254-3,7.5,White Mylar
AD255,AD255-1,7.5,White Mylar
AD255,AD255-2,7.5,White Mylar
AD255,AD255-3,7.5,White Mylar
AD256,AD256-1,7.5,White Mylar
AD256,AD256-2,7.5,White Mylar
AD256,AD256-3,7.5,White Mylar
AD257,AD257-1,7.5,White Mylar
AD257,AD257-2,7.5,White Mylar
AD257,AD257-3,7.5,White Mylar
AD258,AD258-1,7.5,White Mylar
AD258,AD258-2,7.5,White Mylar
AD258,AD258-3,7.5,White Mylar
AD259,AD259-1,7.5,White Mylar
AD259,AD259-2,7.5,White Mylar
AD259,AD259-3,7.5,White Mylar
AD300,AD300-1,7.5,White Mylar
AD300,AD300-2,7.5,White Mylar
AD300,AD300-3,7.5,White Mylar
AD301,AD301-1,7.5,White Mylar
AD301,AD301-2,7.5,White Mylar
AD301,AD301-3,7.5,White Mylar
AD302,AD302-1,7.5,White Mylar
AD302,AD302-2,7.5,White Mylar
AD302,AD302-3,7.5,White Mylar
