sku,price_code,price
WND-201,H,246.00
WND-202,H,246.00
WND-203,H,246.00
WND-204,H,246.00
WND-205,H,246.00
WND-206,H,246.00
WND-207,H,246.00
WND-208,H,246.00
WND-209,G,244.00
WND-210,G,244.00
WND-211,G,244.00
WND-212,G,244.00
WND-213,E,244.00
WND-214,E,244.00
WND-215,F,211.00
WND-216,F,211.00
WND-217,J,245.00
WND-218,J,245.00
WND-219,J,245.00
WND-222,F,211.00
WND-223,F,211.00
WND-224,F,211.00
WND-225,F,211.00
WND-226,K,297.00
WND-227,I,260.00
WND-228,I,260.00
WND-229,K,297.00
WND-230,B,167.00
WND-231,B,167.00
WND-232,B,167.00
WND-233,B,167.00
WND-234,B,167.00
WND-235,B,167.00
WND-236,B,167.00
WND-237,B,167.00
WND-238,B,167.00
WND-239,B,167.00
WND-240,I,260.00
WND-241,I,260.00
WND-242,D,205.00
WND-243,D,205.00
WND-244,D,205.00
WND-245,D,205.00
WND-246,D,205.00
WND-247,D,205.00
WND-248,D,205.00
WND-249,D,205.00
WND-250,D,205.00
WND-251,A,205.00
WND-252,A,205.00
WND-253,A,205.00
WND-254,A,205.00
WND-255,A,205.00
WND-256,H,246.00
WND-257,H,246.00
WND-258,B,167.00
WND-259,B,167.00
WND-260,B,167.00
WND-261,C,197.00
WND-262,B,167.00
WND-263,L,470.00
WND-264,L,470.00
WND-265,L,470.00
WND-266,L,470.00
WND-267,M,276.00
WND-268,M,276.00
WND-269,M,276.00
WND-270,M,276.00
