design_sku,price
NA030,147.98
NA032,147.98
NA033,147.98
NA534,147.98
NA537,147.98
NA539,147.98
NB170,157.98
NB171,157.98
NB175,157.98
NB182,157.98
NB183,157.98
NB578,157.98
NB673,157.98
NC127,163.98
NC130,163.98
NC136,163.98
NC137,163.98
NC260,163.98
NC270,163.98
NC271,163.98
NC276,163.98
ND1000,167.99
ND1001,167.99
ND1011,167.99
ND1012,167.99
ND1016,167.99
ND1018,167.99
ND1021,167.99
ND1025,167.99
ND1026,167.99
ND1033,167.99
ND1036,167.99
ND1047,167.99
NE051,173.98
NE054,173.98
NE1041,173.98
NE1042,173.98
NE590,173.98
NE595,173.98
NF1048,199.98
NF1049,199.98
NF1050,199.98
NF1051,199.98
NG301,287.98
NG302,287.98
NG303,287.98
NG304,287.98
NG305,287.98
NJ057,329.98
NJ058,329.98
NJ059,329.98
NJ060,329.98
NJ061,329.98
NJ062,329.98
