design_sku,roll_width_inches,roll_length_yards,vertical_repeat_inches,repeat_match_type
NH10001,20.5,11,20.87,Half-drop 
NH10005,20.5,11,20.87,Half-drop 
NH10007,20.5,11,20.87,Half-drop 
NH10008,20.5,11,20.87,Half-drop 
NH10102,20.5,11,3.48,Straight 
NH10105,20.5,11,3.48,Straight 
NH10107,20.5,11,3.48,Straight 
NH10108,20.5,11,3.48,Straight 
NH10201,20.5,11,20.87,Half-drop 
NH10203,20.5,11,20.87,Half-drop 
NH10209,20.5,11,20.87,Half-drop 
NH10301,20.5,11,20.87,Straight 
NH10303,20.5,11,20.87,Straight 
NH10304,20.5,11,20.87,Straight 
NH10307,20.5,11,20.87,Straight 
NH10309,20.5,11,20.87,Straight 
NH10401,20.5,11,20.87,Half-drop 
NH10403,20.5,11,20.87,Half-drop 
NH10409,20.5,11,20.87,Half-drop 
NH10500,27,11,20.87,Half-drop 
NH10501,27,11,20.87,Half-drop 
NH10504,27,11,20.87,Half-drop 
NH10507,27,11,20.87,Half-drop 
NH10601,20.5,11,20.87,Half-drop 
NH10602,20.5,11,20.87,Half-drop 
NH10607,20.5,11,20.87,Half-drop 
NH10701,20.5,11,6.96,Straight 
NH10702,20.5,11,6.96,Straight 
NH10707,20.5,11,6.96,Straight 
NH10801,27,11,20.87,Straight 
NH10802,27,11,20.87,Straight 
NH10807,27,11,20.87,Straight 
NH10900,20.5,11,25.2,Half-drop 
NH10904,20.5,11,25.2,Half-drop 
NH10907,20.5,11,25.2,Half-drop 
NH10914,20.5,11,25.2,Half-drop 
NH11004,20.5,11,10.43,Straight 
NH11007,20.5,11,20.87,Half-drop 
NH11101,27,11,20.87,Straight 
NH11102,27,11,20.87,Straight 
NH11103,27,11,20.87,Straight 
NH11108,27,11,20.87,Straight 
NH11201,27,11,20.87,Straight 
NH11202,27,11,20.87,Straight 
NH11203,27,11,20.87,Straight 
NH11208,27,11,20.87,Straight 
NH11300,27,11,20.87,Half-drop 
NH11304,27,11,20.87,Half-drop 
NH11305,27,11,20.87,Half-drop 
NH11400,20.5,11,20.87,Straight 
NH11404,20.5,11,20.87,Straight 
NH11405,20.5,11,20.87,Straight 
NH11500,27,11,20.87,Half-drop 
NH11501,27,11,20.87,Half-drop 
NH11502,27,11,27,Half-drop 
NH11505,27,11,27,Half-drop 
NH11512,27,11,27,Half-drop 
NH11700,20.5,11,25.2,Half-drop 
NH30000,27,9,20.87,Straight
NH30001,27,9,20.87,Straight
NH30004,27,9,20.87,Straight
NH30005,27,9,20.87,Straight
NH30008,27,9,20.87,Straight
NH30100,20.5,11,20.87,Straight
NH30105,20.5,11,20.87,Straight
NH30108,20.5,11,20.87,Straight
NH30200,27,9,18,Straight
NH30202,27,9,18,Straight
NH30205,27,9,18,Straight
NH30207,27,9,18,Straight
NH30210,27,9,18,Straight
NH30300,20.5,11,20.87,Half-drop
NH30305,20.5,11,20.87,Half-drop
NH30307,20.5,11,20.87,Half-drop
NH30308,20.5,11,20.87,Half-drop
NH30310,20.5,11,20.87,Half-drop
NH30401,20.5,11,20.87,Straight
NH30404,20.5,11,20.87,Straight
NH30408,20.5,11,20.87,Straight
NH30501,27,9,25.2,Half-drop
NH30508,27,9,25.2,Half-drop
NH30511,27,9,25.2,Half-drop
NH30518,27,9,25.2,Half-drop
NH30601,20.5,11,20.87,Half-drop
NH30605,20.5,11,20.87,Half-drop
NH30607,20.5,11,20.87,Half-drop
NH30608,20.5,11,20.87,Half-drop
NH30611,20.5,11,20.87,Half-drop
NH30704,27,9,20.87,Half-drop
NH30705,27,9,20.87,Half-drop
NH30707,27,9,20.87,Half-drop
NH30710,27,9,20.87,Half-drop
NH30802,20.5,11,20.87,Straight
NH30804,20.5,11,20.87,Straight
NH30805,20.5,11,20.87,Straight
NH30807,20.5,11,20.87,Straight
NH30808,20.5,11,20.87,Straight
NH30902,27,9,20.87,Half-drop
NH30903,27,9,20.87,Half-drop
NH30904,27,9,20.87,Half-drop
NH30905,27,9,20.87,Half-drop
NH30907,27,9,20.87,Half-drop
NH31002,20.5,11,20.87,Half-drop
NH31004,20.5,11,20.87,Half-drop
NH31005,20.5,11,20.87,Half-drop
NH31010,20.5,11,20.87,Half-drop
NH31101,27,9,25.2,Half-drop
NH31103,27,9,25.2,Half-drop
NH31105,27,9,25.2,Half-drop
NH31108,27,9,25.2,Half-drop
NH31200,27,9,27,Half-drop
NH31202,27,9,27,Half-drop
NH31206,27,9,27,Half-drop
NH31207,27,9,27,Half-drop
NH31301,20.5,11,20.87,Half-drop
NH31302,20.5,11,20.87,Half-drop
NH31304,20.5,11,20.87,Half-drop
NH31308,20.5,11,20.87,Half-drop
