design_sku,repeat_match_type,application,hanging_instructions
WK201,Straight,Paste the paper,
WK202,Straight,Paste the paper,
WK203,Straight,Paste the paper,
WK204,Straight,Paste the paper,
WK205,Straight,Paste the paper,
WK206,Straight,Paste the paper,
WK207,Random,Paste the paper,Reverse hang
WK208,Random,Paste the paper,Reverse hang
WK209,Straight,Paste the paper,
WK210,Straight,Paste the paper,
WK211,Straight,Paste the paper,
WK212,Straight,Paste the paper,
WK213,Random,Paste the paper,Reverse hang
WK214,Random,Paste the paper,Reverse hang
WK215,Random,Paste the paper,Reverse hang
WK216,Random,Paste the paper,Reverse hang
WK217,Random,Paste the paper,Reverse hang
WK218,Random,Paste the paper,Reverse hang
WK219,Random,Paste the paper,Reverse hang
WK220,Random,Paste the paper,Reverse hang
WK221,Random,Paste the paper,Reverse hang
WK222,Random,Paste the paper,Reverse hang
WK223,Random,Paste the paper,Reverse hang
WK224,Random,Paste the paper,Reverse hang
WK225,Random,Paste the paper,Reverse hang
WK226,Random,Paste the paper,Reverse hang
WK227,Random,Paste the paper,Reverse hang
WK228,Random,Paste the paper,Reverse hang
WK229,Random,Paste the paper,Reverse hang
WK230,Random,Paste the paper,Reverse hang
WK231,Straight,Paste the paper,
WK232,Straight,Paste the paper,
WK233,Straight,Paste the paper,
WK234,Random,Paste the paper,Reverse hang
WK235,Random,Paste the paper,Reverse hang
WK236,Random,Paste the paper,Reverse hang
WK237,Random,Paste the paper,Reverse hang
WK238,Random,Paste the paper,Reverse hang
