design_sku,install_images
PNAD010,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD010_Burlap-Poppycock-web-install.jpg
PNAD011,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD011_Burlap-MorningLight-web-install.jpg
PNAD016,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD016_GreyGrasscloth-Chrysanthemum-web-install.jpg
PNAD030,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD030_GreyGrasscloth-Eden-web-install.jpg
PNAD034,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD034_CreamAgave-Gismonda-web-install.jpg
PNAD055,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD055_GreyGrasscloth-LinkedChains-web-install.jpg
PNAD059,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD059_Weave-Bauble-web-install.jpg
PNAD078,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD078_CreamAgave-OhGigi-web-install.jpg
PNAD080,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD080_CreamAgave-Nest-web-install.jpg
PNAD130,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD130_Burlap-Nozomi-web-install.jpg
PNAD135,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD135_GreyGrasscloth-Yume-web-install.jpg
PNAD328,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD328_CreamAgave-AfricanNightFlight-web-install.jpg
PNAD347,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD347_GreyGrasscloth-Armand-web-install.jpg
PNAD353,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD353_CreamAgave-Henri-web-install.jpg
PNAD358,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD358_Weave-InBloom-web-install.jpg
PNAD376,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD376_Burlap-UrbanGarden-web-install.jpg
PNAD384,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD384_Weave-Floret-web-install.jpg
PNAD418,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD418_GreyGrasscloth-TwigsAndFlowers-web-install.jpg
PNAD434,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD434_GreyGrasscloth-AmericanBeauty-web-install.jpg
PNAD436,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD436_CreamAgave-PeonyPop-web-install.jpg
PNAD460,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD460_Weave-Grille-web-install.jpg
PNAD481,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD481_Weave-PrettyInPink-web-install.jpg
PNAD487,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD487_Burlap-Spade-web-install.jpg
PNAD491,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD491_CreamAgave-Trop-web-install.jpg
PNAD595,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD595_Burlap-Protea-web-install.jpg
PNAD651-4,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD651-4_Weave-Chisen-web-install.jpg
PNAD652,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD652_Burlap-CactusGarden-web-install.jpg
PNAD659,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAD659_Weave-SwanDive-web-install.jpg
PNAV206,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAV206_CreamAgave-BambooLattice-web-install.jpg
PNAV370,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAV370_GreyGrasscloth-Twilight-web-install.jpg
PNAV394,https://s3-us-west-2.amazonaws.com/astek-product-images/Printed_Naturals/PNAV394_Burlap-Pagoda-web-install.jpg
