design_sku,design_name,variant_sku,variant_name,description
SB101,Gold White Marble Paint ,SB101,Gold White Marble Paint ,This authentic Japanese wallcovering features a gold and white marbled paint effect.
SB102,Gold Black Marble Paint ,SB102,Gold Black Marble Paint ,This authentic Japanese wallcovering features a gold and black marbled paint effect.
SB103,Red Gold White Marble Paint ,SB103,Red Gold White Marble Paint ,"This authentic Japanese wallcovering features a gold, red and white marbled paint effect."
SB104,Bronze Marble Paint ,SB104,Bronze Marble Paint ,This authentic Japanese wallcovering features bronze marbled paint effect.
SB105,Brown Black Marble Paint ,SB105,Brown Black Marble Paint ,This authentic Japanese wallcovering features a brown and black marbled paint effect.
SB106,Silver Banana Bark,SB106,Silver Banana Bark,This striking banana bark wallcovering features a silver metallic effect.
SB107,Cream Paper Jute,SB107,Cream Paper Jute,Pearly white paper and jute fibers are constructed into a versatile stripe pattern in this lovely natural wallcovering.
SB108,Off White Raffia Japanese Paper,SB108,Off White Raffia Japanese Paper,This refined natural wallcovering features textural rows of pearlescent paper and rafia.
SB109,Off White Paper Jute,SB109,Off White Paper Jute,"Handcrafted in Japan, this natural wallcovering features paper and jute fibers in pearl and ivory tones."
SB110,Bronze Gold Banana Bark,SB110,Bronze Gold Banana Bark,"Handcrafted in Japan, this natural wallcovering features banana bark in rust, gold, and bronze tones."
SB111,Bronze Raffia Japanese Paper,SB111,Bronze Raffia Japanese Paper,"Handcrafted in Japan, this natural wallcovering features raffia and rice paper in bronze tones."
SB112,Blue Japanese Paper Distressed Paint,SB112,Blue Japanese Paper Distressed Paint,"Handcrafted by artisans in Japan, this natural wallcovering features paper in washes of stormy charcoal and chalky white."
SB113,Black and White Raffia Gauze Net,SB113,Black and White Raffia Gauze Net,"Handcrafted by artisans in Japan, this natural wallcovering features mixed textures and materials in black, charcoal, and white tones."
SB114,Gold Gap-Kan Paper with Water Hyacinth,SB114,Gold Gap-Kan Paper with Water Hyacinth,"Handcrafted by artisans in Japan, this wallcovering features mixed natural materials in a rustic pattern."
SB115,Gold White Water Hyacinth with Gap-Kan Paper,SB115,Gold White Water Hyacinth with Gap-Kan Paper,"Handcrafted in Japan, this wallcovering features an assemblage of natural materials and textures in tones of gold and warm beige."
SB116,Red Bronze Water Hyacinth with Gap-Kan Paper,SB116,Red Bronze Water Hyacinth with Gap-Kan Paper,"Handcrafted in Japan, this wallcovering features an assemblage of natural materials and textures in tones of rose gold and rust."
SB117,Blue Crumpled Paper Distressed Paint,SB117,Blue Crumpled Paper Distressed Paint,"Handcrafted in Japan, this natural wallcovering features textured paper in sapphire blue tones."
SB118,Indigo Crumpled Paper Distressed Paint,SB118,Indigo Crumpled Paper Distressed Paint,"Handcrafted in Japan, this natural wallcovering features textured paper in deep indigo."
SB119,Grey Japanese Paper Distressed Paint,SB119,Grey Japanese Paper Distressed Paint,"Handcrafted by artisans in Japan, this natural wallcovering features textured paper in dark grey and silver tones."
