sku,image_url
AD001-1,
AD001-2,
AD001-3,
AD008-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD008_1-Glam_Rock_Ikat_JEWEL_install.jpg
AD008-2,
AD008-3,
AD010-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD010-1_Poppycock_SPRINGTIME_install.jpg
AD010-2,
AD010-3,
AD014-1,
AD014-2,
AD014-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD014-3_Aspen_Tree_CHARCOAL_install.jpg
AD016-1,
AD016-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD016_2_Chrysanthemum_GREY_install.jpg
AD016-3,
AD018-1,
AD018-2,
AD018-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD018_3_Floral_Toile_BORDEAUX_install.jpg
AD019-1,
AD019-2,
AD019-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD019-3_Backgammon_ICEBREAKER_install.jpg
AD020-1,
AD020-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD020_2_Flowerbed_BLACKANDWHITE_install.jpg
AD020-3,
AD021-1,
AD021-2,
AD021-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD021_3_Cherry_Blossoms_GOLDEN_install.jpg
AD025-1,
AD025-2,
AD025-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD025_3_Chinese_Silk_LUCKY_install.jpg
AD026 -1,
AD026 -2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD026-2_Lincoln_Logs_GRAPHITE_install.jpg
AD026 -3,
AD032-1,
AD032-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD032-2_Flamingo_MIDNIGHT_install.jpg
AD032-3,
AD033-1,
AD033-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD033_2_Arcade_CONCRETEMOSS_install.jpg
AD033-3,
AD036-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD036-1_Floral_Evolution_NOSEGAY_install.jpg
AD036-2,
AD036-3,
AD039-1,
AD039-2,
AD039-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD039-3_Faultline_MISCUE_install.jpg
AD040-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD040-1_Triop_GALACTIC_install.jpg
AD040-2,
AD040-3,
AD061-1,
AD061-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD061-2_Iron_Maiden_DAMSEL_install.jpg
AD061-3,
AD065-1,
AD065-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD065-2_Matchstick_DART_install.jpg
AD065-3,
AD066-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD066-1_Serape_AZUL_install.jpg
AD066-2,
AD066-3,
AD067-1,
AD067-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD067-2_Santa_Fe_ANGULO_install.jpg
AD067-3,
AD071-1,
AD071-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD071-2_Zigierra_ALFRESCO_install.jpg
AD071-3,
AD077-1,
AD077-2,
AD077-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD077-3_Montmartre_SPACIAL_install.jpg
AD096-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD096-1_Tulips_DIPLOID_install.jpg
AD096-2,
AD096-3,
AD098-1,
AD098-2,
AD098-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD098-3_Analog_MICRO_install.jpg
AD120-1,
AD120-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD120-2_Rorschach_IMAGER_install.jpg
AD120-3,
AD130-1,
AD130-2,
AD130-3,
AD136-1,
AD136-2,
AD136-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD136-3_Tropical_Fiesta_PILAHOA_install.jpg
AD139-1,
AD139-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD139-2_Venetian_Marble_GYRE_install.jpg
AD139-3,
AD153-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD153-1_Japanese_Maple_MOODY_install.jpg
AD153-2,
AD153-3,
AD154-1,
AD154-2,
AD154-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD154-3_Watercolor_Bouquet_BUNDLE_install.jpg
AD159-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD159-1_Mystic_Magnolia_ABODE_install.jpg
AD159-2,
AD159-3,
AD160-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD160-1_Blushing_Boutonniere_MINUIT_install.jpg
AD160-2,
AD160-3,
AD161-1,
AD161-2,
AD161-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD161-3_Jellies_ZAP_install.jpg
AD261-1,
AD261-2,
