id,name,code,symbol,symbol_position,created_at,updated_at,deleted_at
1,Afghan Afghani,AFN,؋,before,2016-08-18 16:16:36.020594,2016-08-18 16:16:36.020594,\N
2,Albanian Lek,ALL,Lek,before,2016-08-18 16:16:36.028599,2016-08-18 16:16:36.028599,\N
3,Algerian Dinar,DZD,د.ج,before,2016-08-18 16:16:36.041239,2016-08-18 16:16:36.041239,\N
4,Angolan Kwanza,AOA,Kz,before,2016-08-18 16:16:36.043796,2016-08-18 16:16:36.043796,\N
5,Argentine Peso,ARS,$,before,2016-08-18 16:16:36.046245,2016-08-18 16:16:36.046245,\N
6,Armenian Dram,AMD,,before,2016-08-18 16:16:36.048634,2016-08-18 16:16:36.048634,\N
7,Aruban Guilder,AWG,ƒ,before,2016-08-18 16:16:36.05084,2016-08-18 16:16:36.05084,\N
8,Australian Dollar,AUD,A$,before,2016-08-18 16:16:36.056178,2016-08-18 16:16:36.056178,\N
9,Azerbaijani Manat,AZN,ман,before,2016-08-18 16:16:36.059056,2016-08-18 16:16:36.059056,\N
10,Bahamian Dollar,BSD,B$,before,2016-08-18 16:16:36.062198,2016-08-18 16:16:36.062198,\N
11,Bahraini Dinar,BHD,.د.ب,before,2016-08-18 16:16:36.06467,2016-08-18 16:16:36.06467,\N
12,Bangladeshi Taka,BDT,৳,before,2016-08-18 16:16:36.067127,2016-08-18 16:16:36.067127,\N
13,Barbados Dollar,BBD,Bds$,before,2016-08-18 16:16:36.069741,2016-08-18 16:16:36.069741,\N
14,Belarussian Ruble,BYR,Br,before,2016-08-18 16:16:36.072347,2016-08-18 16:16:36.072347,\N
15,Belize Dollar,BZD,BZ$,before,2016-08-18 16:16:36.07531,2016-08-18 16:16:36.07531,\N
16,Bermudian Dollar,BMD,BD$,before,2016-08-18 16:16:36.078031,2016-08-18 16:16:36.078031,\N
17,Bhutanese Ngultrum,BTN,Nu.,before,2016-08-18 16:16:36.080713,2016-08-18 16:16:36.080713,\N
18,Bolivian Boliviano,BOB,Bs.,before,2016-08-18 16:16:36.083094,2016-08-18 16:16:36.083094,\N
19,Bosnia and Herzegovina Convertible Mark,BAM,KM,before,2016-08-18 16:16:36.085735,2016-08-18 16:16:36.085735,\N
20,Botswanan Pula,BWP,P,before,2016-08-18 16:16:36.088418,2016-08-18 16:16:36.088418,\N
21,Brazilian Real,BRL,R$,before,2016-08-18 16:16:36.09152,2016-08-18 16:16:36.09152,\N
22,Brunei Dollar,BND,B$,before,2016-08-18 16:16:36.094125,2016-08-18 16:16:36.094125,\N
23,Bulgarian Lev,BGN,лв.,before,2016-08-18 16:16:36.097383,2016-08-18 16:16:36.097383,\N
24,Burundi Franc,BIF,FBu,before,2016-08-18 16:16:36.100252,2016-08-18 16:16:36.100252,\N
25,CFP Franc,XPF,F,before,2016-08-18 16:16:36.102834,2016-08-18 16:16:36.102834,\N
26,Cambodian Riel,KHR,៛,before,2016-08-18 16:16:36.105744,2016-08-18 16:16:36.105744,\N
27,Canadian Dollar,CAD,C$,before,2016-08-18 16:16:36.109821,2016-08-18 16:16:36.109821,\N
28,Cape Verde Escudo,CVE,$,before,2016-08-18 16:16:36.11395,2016-08-18 16:16:36.11395,\N
29,Cayman Islands Dollar,KYD,CI$,before,2016-08-18 16:16:36.117283,2016-08-18 16:16:36.117283,\N
30,Central African CFA Franc,XAF,FCFA,before,2016-08-18 16:16:36.122189,2016-08-18 16:16:36.122189,\N
31,Chilean Peso,CLP,$,before,2016-08-18 16:16:36.124679,2016-08-18 16:16:36.124679,\N
32,Colombian Peso,COP,$,before,2016-08-18 16:16:36.131359,2016-08-18 16:16:36.131359,\N
33,Comoro Franc,KMF,CF,before,2016-08-18 16:16:36.15155,2016-08-18 16:16:36.15155,\N
34,Congolese Franc,CDF,FC,before,2016-08-18 16:16:36.164615,2016-08-18 16:16:36.164615,\N
35,Costa Rican Colón,CRC,₡,before,2016-08-18 16:16:36.188532,2016-08-18 16:16:36.188532,\N
36,Croatian Kuna,HRK,kn,before,2016-08-18 16:16:36.195656,2016-08-18 16:16:36.195656,\N
37,Cuban Peso Convertible,CUC,$,before,2016-08-18 16:16:36.207991,2016-08-18 16:16:36.207991,\N
38,Czech Koruna,CZK,Kč,before,2016-08-18 16:16:36.219687,2016-08-18 16:16:36.219687,\N
39,Nicaraguan Córdoba,NIO,C$,before,2016-08-18 16:16:36.232425,2016-08-18 16:16:36.232425,\N
40,Danish Krone,DKK,kr.,before,2016-08-18 16:16:36.248258,2016-08-18 16:16:36.248258,\N
41,Djibouti Franc,DJF,Fdj,before,2016-08-18 16:16:36.263693,2016-08-18 16:16:36.263693,\N
42,Dominican Peso,DOP,RD$,before,2016-08-18 16:16:36.27248,2016-08-18 16:16:36.27248,\N
43,East Caribbean Dollar,XCD,EC$,before,2016-08-18 16:16:36.294064,2016-08-18 16:16:36.294064,\N
44,Egyptian Pound,EGP,E£,before,2016-08-18 16:16:36.311893,2016-08-18 16:16:36.311893,\N
45,Eritrean Nakfa,ERN,Nfk,before,2016-08-18 16:16:36.326943,2016-08-18 16:16:36.326943,\N
46,Ethiopian Birr,ETB,Br,before,2016-08-18 16:16:36.335481,2016-08-18 16:16:36.335481,\N
47,Euro,EUR,€,before,2016-08-18 16:16:36.349564,2016-08-18 16:16:36.349564,\N
48,Falkland Islands Pound,FKP,FK£,before,2016-08-18 16:16:36.359649,2016-08-18 16:16:36.359649,\N
49,Fiji Dollar,FJD,FJ$,before,2016-08-18 16:16:36.371908,2016-08-18 16:16:36.371908,\N
50,Gambian Dalasi,GMD,D,before,2016-08-18 16:16:36.383818,2016-08-18 16:16:36.383818,\N
51,Georgian Lari,GEL,,before,2016-08-18 16:16:36.391041,2016-08-18 16:16:36.391041,\N
52,Ghana Cedi,GHS,GH₵,before,2016-08-18 16:16:36.397178,2016-08-18 16:16:36.397178,\N
53,Gibraltar Pound,GIP,£,before,2016-08-18 16:16:36.40464,2016-08-18 16:16:36.40464,\N
54,Guatamalan Quetzal,GTQ,Q,before,2016-08-18 16:16:36.410478,2016-08-18 16:16:36.410478,\N
55,Guernsey Pound,GGP,£,before,2016-08-18 16:16:36.419822,2016-08-18 16:16:36.419822,\N
56,Guinea Franc,GNF,FG,before,2016-08-18 16:16:36.42733,2016-08-18 16:16:36.42733,\N
57,Guyana Dollar,GYD,G$,before,2016-08-18 16:16:36.439882,2016-08-18 16:16:36.439882,\N
58,Haitian Gourde,HTG,G,before,2016-08-18 16:16:36.447616,2016-08-18 16:16:36.447616,\N
59,Honduran Lempira,HNL,L,before,2016-08-18 16:16:36.451315,2016-08-18 16:16:36.451315,\N
60,Hong Kong Dollar,HKD,HK$,before,2016-08-18 16:16:36.453851,2016-08-18 16:16:36.453851,\N
61,Hungarian Forint,HUF,Ft,before,2016-08-18 16:16:36.457332,2016-08-18 16:16:36.457332,\N
62,Icelandic Króna,ISK,kr,before,2016-08-18 16:16:36.46045,2016-08-18 16:16:36.46045,\N
63,Indian Rupee,INR,Rs,before,2016-08-18 16:16:36.463213,2016-08-18 16:16:36.463213,\N
64,Indonesian Rupiah,IDR,Rp,before,2016-08-18 16:16:36.466467,2016-08-18 16:16:36.466467,\N
65,Iranian Rial,IRR,﷼,before,2016-08-18 16:16:36.469303,2016-08-18 16:16:36.469303,\N
66,Iraqi Dinar,IQD,ع.د,before,2016-08-18 16:16:36.481282,2016-08-18 16:16:36.481282,\N
67,Isle of Man Pound,IMP,£,before,2016-08-18 16:16:36.494292,2016-08-18 16:16:36.494292,\N
68,Israeli New Shekel,ILS,	₪,before,2016-08-18 16:16:36.497917,2016-08-18 16:16:36.497917,\N
69,Jamaican Dollar,JMD,J$,before,2016-08-18 16:16:36.500743,2016-08-18 16:16:36.500743,\N
70,Japanese Yen,JPY,¥,before,2016-08-18 16:16:36.503037,2016-08-18 16:16:36.503037,\N
71,Jersey Pound,JEP,£,before,2016-08-18 16:16:36.5058,2016-08-18 16:16:36.5058,\N
72,Jordanian Dinar,JOD,,before,2016-08-18 16:16:36.508168,2016-08-18 16:16:36.508168,\N
73,Kazakhstani Tenge,KZT,₸,before,2016-08-18 16:16:36.51121,2016-08-18 16:16:36.51121,\N
74,Kenyan Shilling,KES,KSh,before,2016-08-18 16:16:36.514145,2016-08-18 16:16:36.514145,\N
76,Kuwaiti Dinar,KWD,د.ك,before,2016-08-18 16:16:36.519256,2016-08-18 16:16:36.519256,\N
77,Kyrgyzstani Som,KGS,,before,2016-08-18 16:16:36.522349,2016-08-18 16:16:36.522349,\N
78,Lao Kip,LAK,₭,before,2016-08-18 16:16:36.532586,2016-08-18 16:16:36.532586,\N
79,Lebanese Pound,LBP,ل.ل,before,2016-08-18 16:16:36.535577,2016-08-18 16:16:36.535577,\N
80,Lesotho Loti,LSL,M,before,2016-08-18 16:16:36.541197,2016-08-18 16:16:36.541197,\N
81,Liberian Dollar,LRD,L$,before,2016-08-18 16:16:36.547544,2016-08-18 16:16:36.547544,\N
82,Libyan Dinar,LYD,LD,before,2016-08-18 16:16:36.551458,2016-08-18 16:16:36.551458,\N
83,Macanese Pataca,MOP,MOP$,before,2016-08-18 16:16:36.55749,2016-08-18 16:16:36.55749,\N
84,Macedonian Denar,MKD,ден,before,2016-08-18 16:16:36.561133,2016-08-18 16:16:36.561133,\N
85,Malagasy Ariary,MGA,Ar,before,2016-08-18 16:16:36.568108,2016-08-18 16:16:36.568108,\N
86,Malawian Kwacha,MWK,MK,before,2016-08-18 16:16:36.572736,2016-08-18 16:16:36.572736,\N
87,Malaysian Ringgit,MYR,RM,before,2016-08-18 16:16:36.575837,2016-08-18 16:16:36.575837,\N
88,Maldivian Rufiyaa,MVR,Rf,before,2016-08-18 16:16:36.579189,2016-08-18 16:16:36.579189,\N
89,Mauritanian Ouguiya,MRO,UM,before,2016-08-18 16:16:36.582727,2016-08-18 16:16:36.582727,\N
90,Mauritian Rupee,MUR,₨,before,2016-08-18 16:16:36.586172,2016-08-18 16:16:36.586172,\N
91,Mexican Peso,MXN,Mex$,before,2016-08-18 16:16:36.589577,2016-08-18 16:16:36.589577,\N
92,Moldovan Leu,MDL,,before,2016-08-18 16:16:36.593054,2016-08-18 16:16:36.593054,\N
93,Mongolian Tögrög,MNT,₮,before,2016-08-18 16:16:36.59649,2016-08-18 16:16:36.59649,\N
94,Moroccan Dirham,MAD,MAD,before,2016-08-18 16:16:36.599658,2016-08-18 16:16:36.599658,\N
95,Mozambican Metical,MZN,MT,before,2016-08-18 16:16:36.603034,2016-08-18 16:16:36.603034,\N
96,Myanmar Kyat,MMK,K,before,2016-08-18 16:16:36.606604,2016-08-18 16:16:36.606604,\N
97,Naira,NGN,₦,before,2016-08-18 16:16:36.609981,2016-08-18 16:16:36.609981,\N
98,Namibian Dollar,NAD,N$,before,2016-08-18 16:16:36.61325,2016-08-18 16:16:36.61325,\N
99,Nepalese Rupee,NPR,Rs,before,2016-08-18 16:16:36.618617,2016-08-18 16:16:36.618617,\N
100,Netherlands Antillean Guilder,ANG,NAƒ,before,2016-08-18 16:16:36.621203,2016-08-18 16:16:36.621203,\N
101,New Zealand Dollar,NZD,NZ$,before,2016-08-18 16:16:36.623745,2016-08-18 16:16:36.623745,\N
102,North Korean Won,KPW,₩,before,2016-08-18 16:16:36.626057,2016-08-18 16:16:36.626057,\N
103,Norwegian Krone,NOK,kr,before,2016-08-18 16:16:36.62823,2016-08-18 16:16:36.62823,\N
104,Omani Rial,OMR,ر.ع.,before,2016-08-18 16:16:36.631326,2016-08-18 16:16:36.631326,\N
105,Pakistani Rupee,PKR,Rs,before,2016-08-18 16:16:36.63611,2016-08-18 16:16:36.63611,\N
106,Papua New Guinean Kina,PGK,K,before,2016-08-18 16:16:36.638501,2016-08-18 16:16:36.638501,\N
107,Paraguayan Guaraní,PYG,₲,before,2016-08-18 16:16:36.641228,2016-08-18 16:16:36.641228,\N
108,Peruvian Nuevo Sol,PEN,S/,before,2016-08-18 16:16:36.64409,2016-08-18 16:16:36.64409,\N
109,Philippine Peso,PHP,	₱,before,2016-08-18 16:16:36.647164,2016-08-18 16:16:36.647164,\N
110,Polish Złoty,PLN,zł,before,2016-08-18 16:16:36.652509,2016-08-18 16:16:36.652509,\N
111,Pound Sterling,GBP,£,before,2016-08-18 16:16:36.656545,2016-08-18 16:16:36.656545,\N
112,Qatari Riyal,QAR,ريال,before,2016-08-18 16:16:36.660001,2016-08-18 16:16:36.660001,\N
113,Romanian Leu,RON,,before,2016-08-18 16:16:36.662957,2016-08-18 16:16:36.662957,\N
114,Russian Ruble,RUB,₽,before,2016-08-18 16:16:36.666075,2016-08-18 16:16:36.666075,\N
115,Rwandan Franc,RWF,FRw,before,2016-08-18 16:16:36.669112,2016-08-18 16:16:36.669112,\N
116,Saint Helena Pound,SHP,£,before,2016-08-18 16:16:36.672448,2016-08-18 16:16:36.672448,\N
117,Samoan Tālā,WST,WS$,before,2016-08-18 16:16:36.675204,2016-08-18 16:16:36.675204,\N
118,Saudi Riyal,SAR,ر.س,before,2016-08-18 16:16:36.678118,2016-08-18 16:16:36.678118,\N
119,Serbian Dinar,RSD,din.,before,2016-08-18 16:16:36.681173,2016-08-18 16:16:36.681173,\N
120,Seychellois Rupee,SCR,,before,2016-08-18 16:16:36.684077,2016-08-18 16:16:36.684077,\N
121,Sierra Leonean Leone,SLL,Le,before,2016-08-18 16:16:36.686716,2016-08-18 16:16:36.686716,\N
122,Singapore Dollar,SGD,S$,before,2016-08-18 16:16:36.689181,2016-08-18 16:16:36.689181,\N
123,Solomon Islands Dollar,SBD,SI$,before,2016-08-18 16:16:36.692565,2016-08-18 16:16:36.692565,\N
124,Somali Shilling,SOS,Sh.So.,before,2016-08-18 16:16:36.696313,2016-08-18 16:16:36.696313,\N
125,South African Rand,ZAR,R,before,2016-08-18 16:16:36.699451,2016-08-18 16:16:36.699451,\N
126,South Korean Won,KRW,₩,before,2016-08-18 16:16:36.702632,2016-08-18 16:16:36.702632,\N
127,South Sudanese Pound,SSP,,before,2016-08-18 16:16:36.705177,2016-08-18 16:16:36.705177,\N
128,Sri Lankan Rupee,LKR,රු,before,2016-08-18 16:16:36.708095,2016-08-18 16:16:36.708095,\N
129,Sudanese Pound,SDG,ج.س.,before,2016-08-18 16:16:36.711313,2016-08-18 16:16:36.711313,\N
130,Surinamese Dollar,SRD,$,before,2016-08-18 16:16:36.714085,2016-08-18 16:16:36.714085,\N
131,Swazi Lilangeni,SZL,E,before,2016-08-18 16:16:36.716615,2016-08-18 16:16:36.716615,\N
132,Swedish Krona,SEK,kr,before,2016-08-18 16:16:36.719379,2016-08-18 16:16:36.719379,\N
133,Swiss Franc,CHF,Fr.,before,2016-08-18 16:16:36.721559,2016-08-18 16:16:36.721559,\N
134,Syrian Pound,SYP,£S,before,2016-08-18 16:16:36.724072,2016-08-18 16:16:36.724072,\N
135,São Tomé and Príncipe Dobra,STD,Db,before,2016-08-18 16:16:36.726917,2016-08-18 16:16:36.726917,\N
136,Taiwan New Dollar,TWD,NT$,before,2016-08-18 16:16:36.729681,2016-08-18 16:16:36.729681,\N
137,Tajikistani Somoni,TJS,,before,2016-08-18 16:16:36.732283,2016-08-18 16:16:36.732283,\N
138,Tanzanian Shilling,TZS,TSh,before,2016-08-18 16:16:36.735309,2016-08-18 16:16:36.735309,\N
139,Thai Baht,THB,฿,before,2016-08-18 16:16:36.738567,2016-08-18 16:16:36.738567,\N
