design_sku,design_images
AD127,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Astek_Natsukashii_Mirai_Install.jpg
AD128,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Astek_Natsukashii_Nami_Install.jpg
AD135,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Astek_Natsukashii_Yume_Install.jpg
AD365,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_ApparitionFigment_Install.jpg
AD367,"https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_LumenAsh_Install.jpg, https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_LumenQuasar_Install.jpg"
AD369,"https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_Petri_Panacea_Install.jpg, https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_PetriStrain_Install.jpg"
AD370,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_ReverieBillow_install.jpg
AD371,"https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_Trabecula_Nimbus_Install.jpg, https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_TrabeculaRift_Install.jpg"
AD372,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Micro_Xylem_Volcanic_Install.jpg
AD122,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Natsukashii_Hibiki_Install.jpg
AD123,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Natsukashii_Hikari_Install.jpg
AD129,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Natsukashii_Natsumi_Install.jpg
AD420,"https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_KamakuraAllegiant_install.jpg, https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_KamakuraDevote_Install.jpg"
AD421,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_KobePoise_Install.jpg
AD422,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_KyotoHonor_install.jpg
AD423,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_Miyazaki_Install.jpg
AD425,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_Okinawa_Install.jpg
AD429,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Ukiyo_YokohamaArete_Install.jpg
AD443,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_BaliHai_Guavaberry_Install.jpg
AD073,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_DrunkMonkeys-Blackout_Install.jpg
AD448,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_Galacticon_Install.jpg
AD450,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_MysticGardenVegetable_Install.jpg
AD451,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_Selene_Install.jpg
AD452,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_Simulation-Install.jpg
AD453,https://s3-us-west-2.amazonaws.com/astek-catalog-room-installs/Utopia_Sugartown_Tuttifrutti_Install.jpg
