sku,weight,package_width,package_height,package_depth
GB100-1,0.12,7,7,61
GB101-1,0.12,7,7,61
GB102-1,0.13,7,7,61
GB103-1,0.13,7,7,61
GB104-1,0.12,7,7,61
GB105-1,0.12,7,7,61
GWC100-1,0.1,7,7,61
GWC100-2,0.1,7,7,61
GWC100-3,0.1,7,7,61
GWC100-4,0.1,7,7,61
GWC100-5,0.1,7,7,61
GWC100-6,0.1,7,7,61
GWC101-1,0.12,7,7,61
GWC101-2,0.12,7,7,61
GWC101-3,0.12,7,7,61
GWC101-4,0.12,7,7,61
GWC101-5,0.12,7,7,61
GWC101-6,0.12,7,7,61
GWC101-7,0.12,7,7,61
GWC101-8,0.12,7,7,61
GWC101-9,0.12,7,7,61
JF100-1,0.13,7,7,61
JF101-1,0.1,7,7,61
JF102-1,0.1,7,7,61
JF102-2,0.1,7,7,61
JF103-1,0.13,7,7,61
JF104-1,0.13,7,7,61
JF105-1,0.13,7,7,61
JF105-2,0.13,7,7,61
JF105-3,0.13,7,7,61
JF106-1,0.1,7,7,61
JF107-1,0.1,7,7,61
JF108-1,0.1,7,7,61
JF108-2,0.1,7,7,61
JF108-3,0.1,7,7,61
JF109-1,0.1,7,7,61
JF110-1,0.1,7,7,61
JF110-2,0.1,7,7,61
JF111-1,0.1,7,7,61
JF111-2,0.1,7,7,61
JF111-3,0.1,7,7,61
JF112-1,0.1,7,7,61
JF112-2,0.1,7,7,61
LM100-1,0.1,7,7,61
LM100-2,0.1,7,7,61
LM101-1,0.12,7,7,61
LM102-1,0.12,7,7,61
LM103-1,0.12,7,7,61
LM103-2,0.12,7,7,61
LM104-1,0.12,7,7,61
LM105-1,0.12,7,7,61
LM105-2,0.12,7,7,61
LM105-3,0.12,7,7,61
LM106-1,0.12,7,7,61
LM107-1,0.12,7,7,61
LM108-1,0.12,7,7,61
LM108-2,0.12,7,7,61
LM108-3,0.12,7,7,61
