sku,weight,package_width,package_height,package_depth
AV003,0.1,7,7,61
AV045,0.1,7,7,61
AV047,0.1,7,7,61
AV048,0.1,7,7,61
AV049,0.1,7,7,61
AV050,0.1,7,7,61
AV051,0.1,7,7,61
AV052,0.1,7,7,61
AV053,0.1,7,7,61
AV054,0.1,7,7,61
AV055,0.1,7,7,61
AV056-1,0.1,7,7,61
AV056-2,0.1,7,7,61
AV056-3,0.1,7,7,61
AV056-4,0.1,7,7,61
AV057-1,0.1,7,7,61
AV057-2,0.1,7,7,61
AV308,0.1,7,7,61
AV309,0.1,7,7,61
AV001,0.1,7,7,61
AV002,0.1,7,7,61
AV004,0.1,7,7,61
AV005,0.1,7,7,61
AV006,0.1,7,7,61
AV007,0.1,7,7,61
AV008,0.1,7,7,61
AV009,0.1,7,7,61
AV010,0.1,7,7,61
AV011,0.1,7,7,61
AV012,0.1,7,7,61
AV013,0.1,7,7,61
AV015,0.1,7,7,61
AV016,0.1,7,7,61
AV017,0.1,7,7,61
AV018,0.1,7,7,61
AV019,0.1,7,7,61
AV020,0.1,7,7,61
AV021,0.1,7,7,61
AV022,0.1,7,7,61
AV023,0.1,7,7,61
AV024,0.1,7,7,61
AV025,0.1,7,7,61
AV026,0.1,7,7,61
AV027,0.1,7,7,61
AV029,0.1,7,7,61
AV030,0.1,7,7,61
AV031,0.1,7,7,61
AV032,0.1,7,7,61
AV033,0.1,7,7,61
AV034,0.1,7,7,61
AV035,0.1,7,7,61
AV036,0.1,7,7,61
AV037,0.1,7,7,61
AV038,0.1,7,7,61
AV039-1,0.1,7,7,61
AV039-2,0.1,7,7,61
AV040-1,0.1,7,7,61
AV040-2,0.1,7,7,61
AV041,0.1,7,7,61
AV042-1,0.1,7,7,61
AV042-2,0.1,7,7,61
AV043-1,0.1,7,7,61
AV043-2,0.1,7,7,61
AV043-3,0.1,7,7,61
AV044,0.1,7,7,61
AV046-1,0.1,7,7,61
AV046-2,0.1,7,7,61
AV122,0.1,7,7,61
AV058-1,0.1,7,7,61
AV058-2,0.1,7,7,61
AV059-1,0.1,7,7,61
AV059-2,0.1,7,7,61
AV060,0.1,7,7,61
AV061-1,0.1,7,7,61
AV061-2,0.1,7,7,61
AV062,0.1,7,7,61
AV063,0.1,7,7,61
AV064,0.1,7,7,61
AV065,0.1,7,7,61
AV066-1,0.1,7,7,61
AV066-2,0.1,7,7,61
AV067,0.1,7,7,61
AV068-1,0.1,7,7,61
AV068-2,0.1,7,7,61
AV069,0.1,7,7,61
AV070,0.1,7,7,61
AV071-1,0.1,7,7,61
AV072,0.1,7,7,61
AV073-1,0.1,7,7,61
AV074,0.1,7,7,61
AV448,0.1,7,7,61
AV075,0.1,7,7,61
AV076,0.1,7,7,61
AV077,0.1,7,7,61
AV078-1,0.1,7,7,61
AV078-2,0.1,7,7,61
AV079,0.1,7,7,61
AV080,0.1,7,7,61
AV081-1,0.1,7,7,61
AV081-2,0.1,7,7,61
AV082,0.1,7,7,61
AV083,0.1,7,7,61
AV084-1,0.1,7,7,61
AV085-1,0.1,7,7,61
AV085-2,0.1,7,7,61
AV086-1,0.1,7,7,61
AV086-2,0.1,7,7,61
AV087,0.1,7,7,61
AV088-1,0.1,7,7,61
AV089,0.1,7,7,61
AV090-1,0.1,7,7,61
AV091,0.1,7,7,61
AV092-1,0.1,7,7,61
AV093,0.1,7,7,61
AV094,0.1,7,7,61
AV095,0.1,7,7,61
AV096,0.1,7,7,61
AV097,0.1,7,7,61
AV098,0.1,7,7,61
AV099,0.1,7,7,61
AV100,0.1,7,7,61
AV101,0.1,7,7,61
AV102,0.1,7,7,61
AV103,0.1,7,7,61
AV104,0.1,7,7,61
AV105,0.1,7,7,61
AV106-1,0.1,7,7,61
AV106-2,0.1,7,7,61
AV071-2,0.1,7,7,61
AV073-2,0.1,7,7,61
AV073-3,0.1,7,7,61
AV084-2,0.1,7,7,61
AV084-3,0.1,7,7,61
AV088-2,0.1,7,7,61
AV090-2,0.1,7,7,61
AV092-2,0.1,7,7,61
AV195,0.1,7,7,61
AV196,0.1,7,7,61
AV197,0.1,7,7,61
AV198,0.1,7,7,61
AV199,0.1,7,7,61
AV200-1,0.1,7,7,61
AV200-2,0.1,7,7,61
AV200-3,0.1,7,7,61
AV200-4,0.1,7,7,61
AV201-1,0.1,7,7,61
AV201-2,0.1,7,7,61
AV202,0.1,7,7,61
AV203,0.1,7,7,61
AV204,0.1,7,7,61
AV205,0.1,7,7,61
AV206-1,0.1,7,7,61
AV206-2,0.1,7,7,61
AV207,0.1,7,7,61
AV208,0.1,7,7,61
AV209,0.1,7,7,61
