sku,weight
AD001-1,0.15
AD001-2,0.15
AD001-3,0.15
AD008-1,0.15
AD008-2,0.15
AD008-3,0.15
AD010-1,0.15
AD010-2,0.15
AD010-3,0.15
AD014-1,0.15
AD014-2,0.15
AD014-3,0.15
AD016-1,0.15
AD016-2,0.15
AD016-3,0.15
AD018-1,0.15
AD018-2,0.15
AD018-3,0.15
AD019-1,0.15
AD019-2,0.15
AD019-3,0.15
AD020-1,0.16
AD020-2,0.16
AD020-3,0.16
AD021-1,0.15
AD021-2,0.15
AD021-3,0.15
AD025-1,0.16
AD025-2,0.16
AD025-3,0.16
AD026-1,0.16
AD026-2,0.16
AD026-3,0.16
AD027-1,0.15
AD027-2,0.15
AD027-3,0.15
AD032-1,0.16
AD032-2,0.16
AD032-3,0.16
AD033-1,0.15
AD033-2,0.15
AD033-3,0.15
AD036-1,0.15
AD036-2,0.15
AD036-3,0.15
AD039-1,0.16
AD039-2,0.16
AD039-3,0.16
AD040-1,0.15
AD040-2,0.15
AD040-3,0.15
AD061-1,0.16
AD061-2,0.16
AD061-3,0.16
AD065-1,0.15
AD065-2,0.15
AD065-3,0.15
AD066-1,0.15
AD066-2,0.15
AD066-3,0.15
AD067-1,0.16
AD067-2,0.16
AD067-3,0.16
AD071-1,0.15
AD071-2,0.15
AD071-3,0.15
AD077-1,0.15
AD077-2,0.15
AD077-3,0.15
AD096-1,0.15
AD096-2,0.15
AD096-3,0.15
AD098-1,0.15
AD098-2,0.15
AD098-3,0.15
AD120-1,0.16
AD120-2,0.16
AD120-3,0.16
AD136-1,0.15
AD136-2,0.15
AD136-3,0.15
AD139-1,0.16
AD139-2,0.16
AD139-3,0.16
AD153-1,0.15
AD153-2,0.15
AD153-3,0.15
AD154-1,0.15
AD154-2,0.15
AD154-3,0.15
AD159-1,0.15
AD159-2,0.15
AD159-3,0.15
AD160-1,0.15
AD160-2,0.15
AD160-3,0.15
AD161-1,0.15
AD161-2,0.15
AD161-3,0.15
AD261-1,0.15
AD261-2,0.15
AD261-3,0.15
AD265-1,0.15
AD265-2,0.15
AD265-3,0.15
AD267-1,0.15
AD267-2,0.15
AD267-3,0.15
AD357-1,0.15
AD357-2,0.15
AD357-3,0.15
AD358-1,0.16
AD358-2,0.16
AD358-3,0.16
AD359-1,0.15
AD359-2,0.15
AD359-3,0.15
AD360-1,0.15
AD360-2,0.15
AD360-3,0.15
AD361-1,0.15
AD361-2,0.15
AD361-3,0.15
AD362-1,0.15
AD362-2,0.15
AD362-3,0.15
AD363-1,0.15
AD363-2,0.15
AD363-3,0.15
AD364-1,0.15
AD364-2,0.15
AD364-3,0.15
AD373-1,0.15
AD373-2,0.15
AD373-3,0.15
AD374-1,0.15
AD374-2,0.15
AD374-3,0.15
AD375-1,0.15
AD375-2,0.15
AD375-3,0.15
AD376-1,0.15
AD376-2,0.15
AD376-3,0.15
AD377-1,0.15
AD377-2,0.15
AD377-3,0.15
