"design_name","design_sku","variant_name","variant_sku"
"Silver Cork","ED101","Silver Cork","ED101"
"Pewter Cork","ED102","Pewter Cork","ED102"
"Smoky Cork","ED103","Smoky Cork","ED103"
"Navy Mica","ED104","Navy Mica","ED104"
"Jet Cork","ED105","Jet Cork","ED105"
"Topaz Cork","ED106","Topaz Cork","ED106"
"Platinum Mica","ED107","Platinum Mica","ED107"
"Ivory Mica","ED108","Ivory Mica","ED108"
"Gold Mica","ED109","Gold Mica","ED109"
"Copper Mica","ED110","Copper Mica","ED110"
"Kohl Mica","ED111","Kohl Mica","ED111"
"Sky Mica","ED112","Sky Mica","ED112"
"Cacao Mica","ED113","Cacao Mica","ED113"
"Indigo Silk","ED114","Indigo Silk","ED114"
"White Silk","ED115","White Silk","ED115"
"Beige Silk","ED116","Beige Silk","ED116"
"Onyx Silk","ED117","Onyx Silk","ED117"
"Beige Linen","ED118","Beige Linen","ED118"
"Desert Linen","ED119","Desert Linen","ED119"
"Vermilion Silk","ED120","Vermilion Silk","ED120"
"Silver Flecked Cork","ED121","Silver Flecked Cork","ED121"
"Copper Flecked Cork","ED122","Copper Flecked Cork","ED122"
"Gold Flecked Cork","ED123","Gold Flecked Cork","ED123"
"Copper Painted Cork","ED124","Copper Painted Cork","ED124"
"Pewter Chocolate Cork","ED125","Pewter Chocolate Cork","ED125"
"Gold Chocolate Cork","ED126","Gold Chocolate Cork","ED126"
"Copper Chocolate Cork","ED127","Copper Chocolate Cork","ED127"
"White Gold Painted Cork","ED128","White Gold Painted Cork","ED128"
"Silver Painted Cork","ED129","Silver Painted Cork","ED129"
"Iron Painted Cork","ED130","Iron Painted Cork","ED130"
"White Painted Cork","ED131","White Painted Cork","ED131"
"Ivory Painted Cork","ED132","Ivory Painted Cork","ED132"
"Platinum Painted Cork","ED133","Platinum Painted Cork","ED133"
"Tan Burled Cork","ED134","Tan Burled Cork","ED134"
"Ebony Flecked Cork","ED135","Ebony Flecked Cork","ED135"
"Rose Flecked Cork","ED136","Rose Flecked Cork","ED136"
"Large Scale Grasscloth","ED137","Large Scale Grasscloth","ED137"
"Airy Grasscloth","ED138","Airy Grasscloth","ED138"
"Blonde Grasscloth","ED139","Blonde Grasscloth","ED139"
"Yellow Grasscloth","ED140","Yellow Grasscloth","ED140"
"Silver Grey Grasscloth","ED141","Silver Grey Grasscloth","ED141"
"Golden Yellow Grasscloth","ED142","Golden Yellow Grasscloth","ED142"
"Ivory Grasscloth","ED143","Ivory Grasscloth","ED143"
"White Grasscloth","ED144","White Grasscloth","ED144"
"Silver Crinkle Grasscloth","ED145","Silver Crinkle Grasscloth","ED145"
"Greystone Grasscloth","ED146","Greystone Grasscloth","ED146"
"Orange Grasscloth","ED147","Orange Grasscloth","ED147"
"Cream Grasscloth","ED148","Cream Grasscloth","ED148"
"Black and Tan Grasscloth","ED149","Black and Tan Grasscloth","ED149"
"Cream Basketweave Grasscloth","ED150","Cream Basketweave Grasscloth","ED150"
"Fallow Basketweave Grasscloth","ED151","Fallow Basketweave Grasscloth","ED151"
"Reed Grasscloth","ED152","Reed Grasscloth","ED152"
"Isabelline Grasscloth","ED153","Isabelline Grasscloth","ED153"
"Silver and Cream Grasscloth","ED154","Silver and Cream Grasscloth","ED154"
"Beige Grasscloth","ED155","Beige Grasscloth","ED155"
"Khaki Grasscloth","ED156","Khaki Grasscloth","ED156"
"Rustic Khaki Grasscloth","ED157","Rustic Khaki Grasscloth","ED157"
"Russet Khaki Grasscloth","ED158","Russet Khaki Grasscloth","ED158"
"Red and Black Grasscloth","ED159","Red and Black Grasscloth","ED159"
"Smoky Grasscloth","ED160","Smoky Grasscloth","ED160"
"Prussian Blue Grasscloth","ED161","Prussian Blue Grasscloth","ED161"
"Sage Grasscloth","ED162","Sage Grasscloth","ED162"
"Navy Grey Grasscloth","ED163","Navy Grey Grasscloth","ED163"
"Charcoal Grasscloth","ED164","Charcoal Grasscloth","ED164"
