design_sku,roll_length_feet
2679-002101,33
2679-002102,33
2679-002103,33
2679-002104,33
2679-002105,33
2679-002106,33
2679-002107,33
2679-002108,33
2679-002109,33
2679-002110,33
2679-002111,33
2679-002112,33
2679-002113,33
2679-002114,33
2679-002115,33
2679-002116,33
2679-002117,33
2679-002118,33
2679-002119,33
2679-002120,33
2679-002121,33
2679-002122,33
2679-002123,33
2679-002124,33
2679-002125,33
2679-002126,33
2679-002127,33
2679-002128,33
2679-002129,33
2679-002130,33
2679-002131,33
2679-002132,33
2679-002133,33
2679-002134,33
2679-002135,33
2679-002136,33
2679-002137,33
2679-002138,33
2679-002139,33
2679-002140,33
2679-002141,33
2679-002142,33
2679-002143,33
2679-002144,33
2679-002145,33
2679-002146,33
2679-002147,33
2679-002148,33
2679-002149,33
2679-002150,33
2679-002151,33
2679-002152,33
2679-002153,33
2679-002154,33
2679-002155,33
2679-002156,33
2679-002157,33
2679-002158,33
2679-002159,33
2679-002160,33
2679-002161,33
2679-002162,33
2679-002163,33
2679-50111,15
2679-50112,15
2679-50113,15
2679-50114,15
2679-50115,15
2679-50116,15
2679-50117,15
2679-50118,15
2679-50119,15
2679-50120,15
2679-50121,15
2679-50122,15
2679-50123,15
2679-50124,15
2679-50125,15
2679-50126,15
2679-50127,15
2679-50128,15
2679-50129,15
2679-50130,15
2679-50131,15
2679-50132,15
2679-50133,15
WV1450,33
WV1451,33
WV1452,33
WV1453,33
WV1454,33
WV1455,33
WV1456,33
WV1457,33
WV1458,33
WV1459,33
WV1460,33
WV1461,33
WV1462,33
WV1463,33
WV1464,33
WV1465,33
WV1466,33
WV1467,33
WV1468,33
WV1469,33
WV1470,33
WV1471,33
WV1472,33
WV1473,33
WV1474,33
WV1475,33
WV1476,33
WV1477,33
WV1478,33
WV1479,33
WV1480,33
TOT10081,33
TOT132711,33
TOT257034,33
TOT257035,33
TOT257037,33
TOT33027,33
TOT33029,33
TOT44004,33
TOT44005,33
TOT46301B,15
TOT46302B,15
TOT46311B,15
TOT46312B,15
TOT46313B,15
TOT46321B,15
TOT46322B,15
TOT46331B,15
TOT46332B,15
TOT46341B,15
TOT46342B,15
TOT46351B,15
TOT46361B,15
TOT46362B,15
TOT46371B,15
TOT46372B,15
TOT46381B,15
TOT46382B,15
TOT46383B,15
TOT46391B,15
TOT46392B,15
TOT46401B,15
TOT46402B,15
TOT46411B,15
TOT46412B,15
TOT46413B,15
TOT46421B,15
TOT46422B,15
TOT46431B,15
TOT46432B,15
TOT46433B,15
TOT46441B,15
TOT46442B,15
TOT46451B,15
TOT46452B,15
TOT46453B,15
TOT46461B,15
TOT46462B,15
TOT47111,33
TOT47112,33
TOT47121,33
TOT47122,33
TOT47123,33
TOT47131,33
TOT47132,33
TOT47141,33
TOT47142,33
TOT47143,33
TOT47151,33
TOT47152,33
TOT47153,33
TOT47161,33
TOT47162,33
TOT47163,33
TOT47171,33
TOT47172,33
TOT47173,33
TOT47181,33
TOT47182,33
TOT47191,33
TOT47192,33
TOT47211,33
TOT47212,33
TOT47213,33
TOT47221,33
TOT47222,33
TOT47231,33
TOT47232,33
TOT47233,33
TOT47234,33
TOT47241,33
TOT47242,33
TOT47251,33
TOT47252,33
TOT47253,33
TOT47261,33
TOT47271,33
TOT47272,33
TOT47273,33
TOT47291,33
TOT47292,33
TOT47301,33
TOT47302,33
TOT47311,33
TOT47312,33
TOT47313,33
TOT47351,33
TOT47352,33
TOT47353,33
TOT47354,33
TOT47355,33
TOT47582,33
TOT47601,33
TOT47602,33
TOT49401,33
TOT662019,33
TOT761610,33
TOT761611,33
TOT761613,33
TOT761620,33
TOT761623,33
TOT76169,33
TOT95507,33
TOT95508,33
SRC01341,33
SRC01342,33
SRC01343,33
SRC01344,33
SRC01721,33
SRC01722,33
SRC01723,33
SRC01724,33
SRC01725,33
SRC01726,33
SRC01731,33
SRC01732,33
SRC01733,33
SRC01734,33
SRC01735,33
SRC01736,33
SRC01741,33
SRC01742,33
SRC01743,33
SRC01744,33
SRC01745,33
SRC01746,33
SRC01751,33
SRC01752,33
SRC01753,33
SRC01754,33
SRC01755,33
SRC01756,33
SRC01781,33
SRC01782,33
SRC01783,33
SRC01784,33
SRC01785,33
SRC01786,33
SRC01791,33
SRC01792,33
SRC01793,33
SRC10281,33
SRC102810,33
SRC102811,33
SRC102812,33
SRC10287,33
SRC10289,33
SRC113010,33
