design_sku,roll_length_feet
2768-3201,33
2768-3202,33
2768-3203,33
2768-3204,33
2768-3205,33
2768-3206,33
2768-3207,33
2768-3208,33
2768-3223,33
2768-3224,33
2768-3227,33
2768-3228,33
2768-3229,33
2768-3230,33
2768-3243,33
2768-3244,33
2768-3245,33
2768-3246,33
2768-3247,33
2768-3248,33
2768-3251,33
2768-3252,33
2768-3253,33
2768-3260,33
2768-3262,33
2768-3263,33
2768-95549,33
2768-95551,33
2768-95552,33
2768-95553,33
2768-95555,33
2768-95556,33
2768-95557,33
2768-95559,33
2768-95560,33
2768-95561,33
2768-95562,33
2768-95563,33
2768-95565,33
2768-95566,33
2768-95567,33
2768-95568,33
2768-95569,33
2768-95570,33
2768-95582,33
BBC05071B,15
BBC05131B,15
BBC09068,33
BBC09151,33
BBC13282,33
BBC15031B,15
BBC16074,33
BBC16174,33
BBC20021B,15
BBC20041B,15
BBC20043B,15
BBC20061B,15
BBC20071B,15
BBC21536,33
BBC21561,33
BBC21605,33
BBC21711,33
BBC24624B,15
BBC35511B,15
BBC35541B,15
BBC35604B,15
BBC44031,33
BBC44101,33
BBC44502B,15
BBC44511B,15
BBC44521B,15
BBC44531B,15
BBC44532B,15
BBC44541B,15
BBC44552B,15
BBC44561B,15
BBC44572B,15
BBC44581B,15
BBC44592B,15
BBC44601B,15
BBC44603B,15
BBC44611B,15
BBC44614B,15
BBC44621B,15
BBC44651B,15
BBC44671B,15
BBC46001B,15
BBC46023B,15
BBC46041B,15
BBC46051B,15
BBC46052B,15
BBC46071B,15
BBC46081B,15
BBC46091B,15
BBC46111B,15
BBC46302B,15
BBC46311B,15
BBC46312B,15
BBC46322B,15
BBC46331B,15
BBC46341B,15
BBC46351B,15
BBC46362B,15
BBC46372B,15
BBC46381B,15
BBC46391B,15
BBC46401B,15
BBC46402B,15
BBC46411B,15
BBC46421B,15
BBC46422B,15
BBC46431B,15
BBC46433B,15
BBC46442B,15
BBC46451B,15
BBC46452B,15
BBC46461B,15
BBC47075,33
BBC47501,33
BBC48401B,15
BBC48402B,15
BBC48422B,15
BBC48431B,15
BBC48441B,15
BBC48442B,15
BBC48452B,15
BBC48461B,15
BBC48463B,15
BBC48481B,15
BBC48501B,15
BBC48511B,15
BBC48521B,15
BBC48531B,15
BBC48541B,15
BBC48551B,15
BBC48552B,15
BBC48561B,15
BBC48563B,15
BBC491010,33
BBC49437,33
BBC49451,33
BBC49463,33
BBC49465,33
BBC50051B,15
BBC50142B,15
BBC50321B,15
BBC58516,33
BBC65022B,15
BBC65171B,15
BBC65211B,15
BBC65312B,15
BBC65331B,15
BBC65342B,15
BBC65343B,15
BBC65362B,15
BBC65365B,15
BBC65391B,15
BBC65401B,15
BBC65402B,15
BBC66382,33
BBC66412,33
BBC77761,33
BBC77915B,15
BBC83002B,15
BBC83161B,15
BBC83241B,15
BBC92052B,15
BBC92073B,15
BBC92092B,15
BBC92141B,15
BBC92211B,15
BBC92321B,15
BBC92331B,15
BBC92341B,15
BBC92351B,15
BBC94003B,15
BBC94011B,15
BBC94031B,15
BBC94051B,15
BBC94052B,15
BBC94062B,15
BBC94071B,15
BBC94081B,15
BBC94082B,15
BBC94111B,15
BBC94113B,15
BBC94143B,15
BBC94152B,15
BBC94181B,15
BBC94182B,15
BBC94251B,15
BBC94253B,15
BBC94311B,15
BBC95503,33
BBC95511,33
BBC95632,33
2716-23803,33
2716-23804,33
2716-23805,33
2716-23806,33
2716-23807,33
2716-23808,33
2716-23809,33
2716-23810,33
2716-23811,33
2716-23813,33
2716-23814,33
2716-23815,33
2716-23816,33
2716-23817,33
2716-23818,33
2716-23819,33
2716-23820,33
2716-23822,33
2716-23823,33
2716-23824,33
2716-23825,33
2716-23826,33
2716-23827,33
2716-23828,33
2716-23829,33
2716-23830,33
2716-23831,33
2716-23832,33
2716-23833,33
2716-23834,33
2716-23835,33
2716-23836,33
2716-23837,33
2716-23838,33
2716-23839,33
2716-23840,33
2716-23841,33
2716-23842,33
2716-23843,33
2716-23844,33
2716-23845,33
2716-23846,33
2716-23847,33
2716-23848,33
2716-23849,33
2716-23850,33
2716-23851,33
2716-23852,33
2716-23853,33
2716-23855,33
2716-23856,33
2716-23857,33
2716-23858,33
2716-23859,33
2716-23860,33
2716-23861,33
2716-23862,33
2716-23863,33
2716-23864,33
2716-23865,33
2716-23866,33
