websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Vintage,1920s-1930s,Enchantress,AV001,Enchantress,Master,AV001,,"traditional, ornate, damask, toile, ",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV001_Enchantress_ENCHANTRESS.jpg,,6.5,Square Foot,1,1,Retro + Vintage,"Grey, Pink",Paper,,,,,,,,13,20.63,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Perception,AV002,Perception,Master,AV002,,"optical illusion, illusion, cube, square, frieze, ornament, moulding, molding",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV002_Perception_PERCEPTION.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Geometric",Green,Paper,,,,,,,,8.67,6.89,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Antique Rose,AV004,Antique Rose,Master,AV004,,"floral, flower, flowers, rose, roses, rosebuds, traditional",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV004_Antique_Rose_ANTIQUEROSE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional, Botanical","Off-White, Pink, Green",Paper,,,,,,,,26,23,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Modern Times,AV005,Modern Times,Master,AV005,,"fleur de lis, stripe, delicate",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV005_Modern_Times_MODERNTIMES.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional,",Beige,Paper,,,,,,,,7.43,3.48,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Pickalittle,AV006,Pickalittle,Master,AV006,,"chicken, rooster, toile, ",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV006_Pickalittle_PICKALITTLE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Animalia","Beige, Brown, Neutral",Paper,,,,,,,,26,17.24,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Jezebel Vine,AV007,Jezebel Vine,Master,AV007,,"flower, flowers, floral, decorative, ornamental,",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV007_Jezebel_Vine_JEZEBELVINE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical, Stripes + Plaid","Neutral, Pink, Off-White",Paper,,,,,,,,26,31.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Camille,AV008,Camille,Master,AV008,,"flower, flowers, floral, decorative, ornamental,",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV008_Camille_CAMILLE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical","Green, Pink",Paper,,,,,,,,19.687,13,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Marilyn,AV009,Marilyn,Master,AV009,,"flower, flowers, floral, vine, ",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV009_Marilyn_MARILYN.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical","Green, Yelllow, Blue",Paper,,,,,,,,17.33,13.33,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Ninotchka,AV010,Ninotchka,Master,AV010,,"abstract, ",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV010_Ninotchka_NINOTCHKA.jpg,,6.5,Square Foot,1,1,Retro + Vintage,"Beige, Pink, Yellow, Green",Paper,,,,,,,,13,14.14,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Clara,AV011,Clara,Master,AV011,,"diamond, floral, flower, ditsy",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV011_Clara_CLARA.jpg,,6.5,Square Foot,1,1,Retro + Vintage,"Pink, Orange",Paper,,,,,,,,10.4,9.14,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Elsie,AV012,Elsie,Master,AV012,,"flower, flowers, floral, vine",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV012_Elsie_ELSIE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical","Pink, Cream, Multi",Paper,,,,,,,,13,11.13,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Moxie,AV013,Moxie,Master,AV013,,"mottled, mottling, variegated, texture",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV013_Moxie_MOXIE.jpg,,6.5,Square Foot,1,1,Retro + Vintage,Beige,Paper,,,,,,,,17.33,11.72,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Crewel,AV014,Crewel,Master,AV014,,"mottled, mottling, variegated, texture",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV014_Crewel_CREWEL.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Geometric","Green, Multi",Paper,,,,,,,,13,12.53,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Greta,AV015,Greta,Master,AV015,,"floral, flower, flowers, ditsy",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV015_Greta_GRETA.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical","Beige, Multi",Paper,,,,,,,,17.33,13.61,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Claudette,AV016,Claudette,Master,AV016,,"floral, flower, flowers, ditsy",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV016_Claudette_CLAUDETTE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical","Blue, Multi",Paper,,,,,,,,13,11.76,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Carole,AV017,Carole,Master,AV017,,"floral, flower, flowers, ditsy",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s/AV017_Carole_CAROLE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,17.33,15.985,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
