websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Vintage,1920s-1930s,Crewel,AV014,Lime,Color Way,AV014-1,,"mottled, mottling, variegated, texture",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV014-1_Crewel_LIME.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Geometric","Green, Multi",Paper,,,,,,,,13,12.53,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Crewel,AV014,Violet,Color Way,AV014-2,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV014-2_Crewel_VIOLET.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Purple,Paper,,,,,,,,13,12.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Margaret,AV028,Red Apple,Color Way,AV028-1,,"floral, flowers, kitchen, squares, checkers",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV028-1_Margaret_RED_APPLE.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical, Traditional","Red, Multi",Paper,,,,,,,,6.5,6.78,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Margaret,AV028,Green Apple,Color Way,AV028-2,,"floral, flowers, kitchen, squares, checkers",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV028-2_Margaret_GREEN_APPLE.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical, Traditional","Green, Multi",Paper,,,,,,,,6.5,6.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Shirley,AV299,Shirley,Master,AV299,,"flower, flowers, bloom, blossom, hexagon, vine, emblem, daisy",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV299_Shirley_SHIRLEY.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical","Grey, Green",Paper,,,,,,,,4.73,8.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Norma,AV407,Norma,Master,AV407,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV407_Norma_NORMA.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical","Yellow, Multi",Paper,,,,,,,,17.33,10.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Dollop of Florals,AV409,Dollop of Florals,Master,AV409,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV409_Dollop_of_Florals_DOLLOPOFFLORALS.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,17.33,7.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Supreme Vines,AV410,Supreme Vines,Master,AV410,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV410_Supreme_Vines_SUPREMEVINES.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,13,10.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Petals,AV411,Spring,Color Way,AV411-1,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV411-1_Petals_SPRING.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,6.5,8.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Petals,AV411,Fall,Color Way,AV411-2,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV411-2_Petals_FALL.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,6.5,8.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
