websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Vintage,1960s-1970s,That 70's Circle,AV123,That 70's Circle,Master,AV123,,"circles, concentric, mod, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV123_That_70s_Circle_THAT70SCIRCLE.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Geometric","Yellow, Red, Brown",Paper,,,,,,,AV123,52,51.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Sun Valley,AV124,Sun Valley,Master,AV124,,"flourish, ornament, swirl",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV124_Sun_Valley_SUNVALLEY.jpg,,6.50,Square Foot,1,30,Retro + Vintage,Orange,Paper,,,,,,,AV124,26,18.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Splashing,AV125,Splashing,Master,AV125,,"water, leaves, leaf, splash, float, bubbles",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV125_Splashing_SPLASHING.jpg,,6.50,Square Foot,1,30,Retro + Vintage,"Green, Purple",Paper,,,,,,,AV125,26,20,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Old Ads,AV126,Old Ads,Master,AV126,,"advertisements, newspaper",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV126_Old_Ads_OLDADS.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Illustrative","Beige, Neutral",Paper,,,,,,,AV126,26,25.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Little Ladies,AV127,Little Ladies,Master,AV127,,"girls, puppies, flowers, blooms, garden, gardening, bonnets",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV127_Little_Ladies_LITTLELADIES.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Children's, Illustrative","Beige, Neutral, Orange, Multi",Paper,,,,,,,AV127,26,23.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Old Americana,AV128,Old Americana,Master,AV128,,"locomotion, trains, ships, patriotic, patriotism, eagles, crest, flag",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV128_Old_Americana_OLDAMERICANA.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Children's, Illustrative","Beige, Neutral",Paper,,,,,,,AV128,26,22.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Garden Fantasy,AV129,Garden Fantasy,Master,AV129,,"flower, flowers, fleur, daisy, poppy, poppies, garden, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV129_Garden_Fantasy_GARDENFANTASY.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Botanical","Beige, Neutral, Multi",Paper,,,,,,,AV129,26,24.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Heirlooms,AV130,Heirlooms,Master,AV130,,"antique, memorabillia",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV130_Heirlooms_HEIRLOOMS.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Illustration","Beige, Yellow",Paper,,,,,,,AV130,26,20,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Glory Days,AV131,Glory Days,Master,AV131,,"sports, collectibles, memorabilia",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV131_Glory_Days_GLORYDAYS.jpg,,6.50,Square Foot,1,30,"Retro + Vintage, Children's, Illustration","Beige, Multi",Paper,,,,,,,AV131,26,27.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1960s-1970s,Twisted Columns,AV132,Twisted Columns,Master,AV132,,"stripes, mod, psychedelic",https://s3-us-west-2.amazonaws.com/astek-product-images/1960s-1970s_pt_2/AV132_Twisted_Columns_TWISTEDCOLUMNS.jpg,,6.50,Square Foot,1,30,Retro + Vintage,"Red, Brown",Paper,,,,,,,AV132,13,12.9,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
