websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name_old,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
,Astek,Digital,Studio,Animalia,Bear,AD229,,Bear - American Black,American Black,Color Way,AD229-1,,"fur, animal, pelt",https://s3.amazonaws.com/astek/animalia/AD229-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,48.54,48.13,Straight,48.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Bear,AD229,,Bear - Grizzly,Grizzly,Color Way,AD229-2,,"fur, animal, pelt",https://s3.amazonaws.com/astek/animalia/AD229-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black,Matte Vinyl,,,,,,48.54,48.13,Straight,48.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Bear,AD229,,Bear - Polar,Polar,Color Way,AD229-3,,"fur, animal, pelt",https://s3.amazonaws.com/astek/animalia/AD229-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,48.54,48.13,Straight,48.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Cowhide,AD221,,Cowhide - Grey Alpine,Grey Alpine,Color Way,AD221-1,,"cow, hide, leather, animal, spotted",https://s3.amazonaws.com/astek/animalia/AD221-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,52,39,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Cowhide,AD221,,Cowhide - Guernsey,Guernsey,Color Way,AD221-2,,"cow, hide, leather, animal, spotted",https://s3.amazonaws.com/astek/animalia/AD221-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Red,Matte Vinyl,,,,,,52,39,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Cowhide,AD221,,Cowhide - Holstein,Holstein,Color Way,AD221-3,,"cow, hide, leather, animal, spotted",https://s3.amazonaws.com/astek/animalia/AD221-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,52,39,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Fox,AD222,,Fox - Golden,Golden,Color Way,AD222-1,,"animal, fur, hide, pelt",https://s3.amazonaws.com/astek/animalia/AD222-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,41.67,41.65,Straight,41.67,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Fox,AD222,,Fox - Grey,Grey,Color Way,AD222-2,,"animal, fur, hide, pelt",https://s3.amazonaws.com/astek/animalia/AD222-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,41.67,41.65,Straight,41.67,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Fox,AD222,,Fox - Red,Red,Color Way,AD222-3,,"animal, fur, hide, pelt",https://s3.amazonaws.com/astek/animalia/AD222-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Red,Matte Vinyl,,,,,,41.67,41.65,Straight,41.67,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Giraffe,AD223,,Giraffe - Kalahari,Kalahari,Color Way,AD223-1,,"animal, skin, african, africa, exotic",https://s3.amazonaws.com/astek/animalia/AD223-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,52,33.06,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Jaguar,AD224,,Jaguar - Albino,Albino,Color Way,AD224-1,,"animal, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD224-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,16.44,24.29,Straight,49.31,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Jaguar,AD224,,Jaguar - Amazon,Amazon,Color Way,AD224-2,,"animal, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD224-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,16.44,24.29,Straight,49.31,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Jaguar,AD224,,Jaguar - Black,Black,Color Way,AD224-3,,"animal, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD224-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,16.44,24.29,Straight,49.31,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Leopard,AD225,,Leopard - Amur,Amur,Color Way,AD225-1,,"animal, fur, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD225-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,11.22,8.84,Straight,48.88,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Leopard,AD225,,Leopard - Arabia,Arabia,Color Way,AD225-2,,"animal, fur, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD225-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,11.22,8.84,Straight,48.88,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Leopard,AD225,,Leopard - Javan,Javan,Color Way,AD225-3,,"animal, fur, spotted, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD225-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,11.22,8.84,Straight,48.88,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Tiger,AD226,,Tiger - Malayan,Malayan,Color Way,AD226-1,,"animal, fur, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD226-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,15.73,29.35,Straight,47.19,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Tiger,AD226,,Tiger - Siberian,Siberian,Color Way,AD226-2,,"animal, fur, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD226-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,15.73,29.35,Straight,47.19,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Tiger,AD226,,Tiger - White Bengal,White Bengal,Color Way,AD226-3,,"animal, fur, animal print, exotic",https://s3.amazonaws.com/astek/animalia/AD226-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,15.73,29.35,Straight,47.19,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Wolf,AD227,,Wolf - Arctic,Arctic,Color Way,AD227-1,,"animal, fur, faux, pelt",https://s3.amazonaws.com/astek/animalia/AD227-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,26,16.03,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Wolf,AD227,,Wolf - Ethopian,Ethopian,Color Way,AD227-2,,"animal, fur, faux, pelt",https://s3.amazonaws.com/astek/animalia/AD227-2.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Orange,Matte Vinyl,,,,,,26,16.03,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Wolf,AD227,,Wolf - Timber,Timber,Color Way,AD227-3,,"animal, fur, faux, pelt",https://s3.amazonaws.com/astek/animalia/AD227-3.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Neutral,Matte Vinyl,,,,,,26,16.03,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
,Astek,Digital,Studio,Animalia,Zebra,AD228,,Zebra - Mountain,Mountain,Color Way,AD228-1,,"animal, skin, african, exotic",https://s3.amazonaws.com/astek/animalia/AD228-1.jpg,5.99,Square Foot,1,1,"Animalia, Faux Surface",Black and White,Matte Vinyl,,,,,,26,34.64,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
