websites,vendor,country_of_origin,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,old_sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order,package_width,package_height,package_depth
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 1,SL100,Exposure 1,Master,SL100,AD563,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL100_Exposure_1_EXPOSURE1.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL100_Exposure_1_EXPOSURE1_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic",Blue,Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 2,SL101,Exposure 2,Master,SL101,AD564,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL101_Exposure_2_EXPOSURE2.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL101_Exposure_2_EXPOSURE2_install.jpg,7.50,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Grey, Gold",Silver Spectre,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 3,SL102,Exposure 3,Master,SL102,AD565,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL102_Exposure_3_EXPOSURE3.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL102_Exposure_3_EXPOSURE3_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Neutral, Multi",Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 4,SL103,Exposure 4,Master,SL103,AD566,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL103_Exposure_4_EXPOSURE4.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL103_Exposure_4_EXPOSURE4_install.jpg,7.50,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Red, Multi",Silver Spectre,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 5,SL104,Exposure 5,Master,SL104,AD567,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL104_Exposure_5_EXPOSURE5.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL104_Exposure_5_EXPOSURE5_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Grey, White",Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 6,SL105,Exposure 6,Master,SL105,AD568,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL105_Exposure_6_EXPOSURE6.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL105_Exposure_6_EXPOSURE6_install.jpg,7.50,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Grey, Brown",Silver Spectre,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 7,SL106,Exposure 7,Master,SL106,AD569,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL106_Exposure_7_EXPOSURE7.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL106_Exposure_7_EXPOSURE7_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Grey, Neutral, Multi",Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 8,SL107,Exposure 8,Master,SL107,AD570,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL107_Exposure_8_EXPOSURE8.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL107_Exposure_8_EXPOSURE8_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Blue, Multi",Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 9,SL108,Exposure 9,Master,SL108,AD571,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL108_Exposure_9_EXPOSURE9.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL108_Exposure_9_EXPOSURE9_install.jpg,7.50,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Grey, White, Black and White",Silver Spectre,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,"Studio, Murals",Apperception,Exposure 10,SL109,Exposure 10,Master,SL109,AD572,,"faux, surface, concrete, steel, urban, grit, gritty, texture, city, expressionism",https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL109_Exposure_10_EXPOSURE10.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Apperception/SL109_Exposure_10_EXPOSURE10_install.jpg,7.00,Square Foot,1,30,"Textural, Faux Finish, Contemporary, Photographic","Off-White, Grey",Gobi,woven,,,162,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
