websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Studio,Azulejos,Sofia ,AD600,Sofia ,Master,AD600-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD600-1_Sofia_SOFIA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD600-1_Sofia_SOFIA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Green,Matte Vinyl,,,,,,6.3,6.3,Straight match,50,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Isabella ,AD601,Isabella ,Master,AD601-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD601-1_Isabella_ISABELLA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD601-1_Isabella_ISABELLA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Blue,Matte Vinyl,,,,,,20.3,10.4,Straight match,40.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Camila ,AD602,Camila ,Master,AD602-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD602-1_Camila_CAMILA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD602-1_Camila_CAMILA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Blue,Matte Vinyl,,,,,,15.7,7.9,Straight match,47.2,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Valeria ,AD603,Valeria ,Master,AD603-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD603-1_Valeria_VALERIA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD603-1_Valeria_VALERIA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Red,Matte Vinyl,,,,,,4,3.9,Straight match,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Adriana ,AD604,Adriana ,Master,AD604-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD604-1_Adriana_ADRIANA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD604-1_Adriana_ADRIANA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Yellow,Matte Vinyl,,,,,,3.9,3.9,Straight match,46.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Laura ,AD605,Laura ,Master,AD605-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD605-1_Laura_LAURA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD605-1_Laura_LAURA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Yellow,Matte Vinyl,,,,,,3.7,3.9,Straight match,51.3,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Lola ,AD606,Lola ,Master,AD606-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD606-1_Lola_LOLA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD606-1_Lola_LOLA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Neutral,Matte Vinyl,,,,,,7.5,7.5,Straight match,45.2,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Carmen ,AD607,Carmen ,Master,AD607-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD607-1_Carmen_CARMEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD607-1_Carmen_CARMEN_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Black and White,Matte Vinyl,,,,,,4.2,4.2,Straight match,50.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Eva ,AD608,Eva ,Master,AD608-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD608-1_Eva_EVA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD608-1_Eva_EVA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Yellow,Matte Vinyl,,,,,,4.2,4.2,Straight match,50.3,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Azulejos,Natalia ,AD609,Natalia ,Master,AD609-1,,"tile, tiles, ceramic, porcelain, trompe l'oeil, mediterranean",https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD609-1_Natalia_NATALIA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Azulejos/AD609-1_Natalia_NATALIA_install.jpg,5.99,Square Foot,1,1,"Photographic, Faux Finish",Neutral,Matte Vinyl,,,,,,3.1,3.1,Straight match,50.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
