websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Yellow Rose,FP134,Yellow Rose,Master,FP134-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP134-1_Yellow_Rose_YELLOWROSE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP134-1_Yellow_Rose_YELLOWROSE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary",Yellow,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Abalone,FP135,Abalone,Master,FP135-1,,"photographic, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP135-1_Abalone_ABALONE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP135-1_Abalone_ABALONE_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Abstract","Blue, Green",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Coral 1,FP136,Coral 1,Master,FP136-1,,"photographic, oceanic, macro, coral",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP136-1_Coral_1_CORAL1.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP136-1_Coral_1_CORAL1_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Abstract",White,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Amethyst,FP137,Amethyst,Master,FP137-1,,"photographic, gem, stone, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP137-1_Amethyst_AMETHYST.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP137-1_Amethyst_AMETHYST_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Abstract",Purple,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Double Red,FP138,Double Red,Master,FP138-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP138-1_Double_Red_DOUBLERED.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP138-1_Double_Red_DOUBLERED_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary",Red,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Orchid 1,FP139,Orchid 1,Master,FP139-1,,"photographic, floral, flowers, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP139-1_Orchid_1_ORCHID1.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP139-1_Orchid_1_ORCHID1_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary","White, Yellow",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,BIGS,Quartz,FP140,Quartz,Master,FP140-1,,"photographic, nature, rock, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP140-1_Quartz_QUARTZ.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP140-1_Quartz_QUARTZ_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary","Grey, White",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Sunflower,FP141,Sunflower,Master,FP141-1,,"photographic, floral, flowers, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP141-1_Sunflower_SUNFLOWER.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP141-1_Sunflower_SUNFLOWER_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary","Yellow, Green",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Tea Rose,FP142,Tea Rose,Master,FP142-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP142-1_Tea_Rose_TEAROSE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP142-1_Tea_Rose_TEAROSE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary",Red,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Wing,FP143,Wing,Master,FP143-1,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP143-1_Wing_WING.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP143-1_Wing_WING_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Abstract","Black, White",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Topaz,FP144,Topaz,Master,FP144-1,,"photographic, gem, stone, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP144-1_Topaz_TOPAZ.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP144-1_Topaz_TOPAZ_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Abstract",Yellow,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Velvet Rose,FP145,Velvet Rose,Master,FP145-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP145-1_Velvet_Rose_VELVETROSE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP145-1_Velvet_Rose_VELVETROSE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary","Red, Purple",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Amethyst Rose - B&W,FP154,Amethyst Rose - B&W,Master,FP154-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP154-1_Amethyst_Rose_BW_AMETHYSTROSEBW.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP154-1_Amethyst_Rose_BW_AMETHYSTROSEBW_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary","Black, White",Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Amethyst Rose,FP155,Amethyst Rose,Master,FP155-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP155-1_Amethyst_Rose_AMETHYSTROSE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP155-1_Amethyst_Rose_AMETHYSTROSE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary",Purple,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Coral 2,FP156,Coral 2,Master,FP156-1,,"photographic, oceanic, macro, coral",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP156-1_Coral_2_CORAL2.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP156-1_Coral_2_CORAL2_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary",White,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Coral 3,FP157,Coral 3,Master,FP157-1,,"photographic, oceanic, coral, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP157-1_Coral_3_CORAL3.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP157-1_Coral_3_CORAL3_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary",White,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Murals",BIGS,Dewy Rose,FP158,Dewy Rose,Master,FP158-1,,"photographic, floral, flowers, rose, macro",https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP158-1_Dewy_Rose_DEWYROSE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/BIGS/FP158-1_Dewy_Rose_DEWYROSE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Contemporary",Red,Matte Vinyl,,,,132,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
