websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Crystalline,Brindle,Brindle - Passage,Color Way,AD309-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Brindle_Passage.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,240,108,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Brindle,Brindle - Renew,Color Way,AD309-2,,,https://s3.amazonaws.com/astek/Crystalline/AD309-2.jpg,6.50,Square Foot,1,1,,Red,Silver Mylar,,,,,,240,108,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Brindle,Brindle - Sheer,Color Way,AD309-3,,,https://s3.amazonaws.com/astek/Crystalline/AD309-3.jpg,6.50,Square Foot,1,1,,Neutral,Silver Mylar,,,,,,240,108,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Calcedony,Calcedony - Dazzle,Color Way,AD310-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Calcedony_Dazzle.jpg,6.50,Square Foot,1,1,,Neutral,Silver Mylar,,,,,,48,16.198,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Calcedony,Calcedony - Delight,Color Way,AD310-2,,,https://s3.amazonaws.com/astek/Crystalline/AD310-2.jpg,6.50,Square Foot,1,1,,Green,Silver Mylar,,,,,,48,16.198,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Calcedony,Calcedony - Extraordinaire,Color Way,AD310-3,,,https://s3.amazonaws.com/astek/Crystalline/AD310-3.jpg,6.50,Square Foot,1,1,,Purple,Silver Mylar,,,,,,48,16.198,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Collide,Collide - Dawn,Color Way,AD311-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Collide_Dawn.jpg,6.50,Square Foot,1,1,,Neutral,Silver Mylar,,,,,,38.88,51.25,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Collide,Collide - Portal,Color Way,AD311-2,,,https://s3.amazonaws.com/astek/Crystalline/AD311-2.jpg,6.50,Square Foot,1,1,,Neutral,Silver Mylar,,,,,,38.88,51.25,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Collide,Collide - Leen,Color Way,AD311-3,,,http://astek.s3.amazonaws.com/styles/extra-large/s3/Crystalline_Collide_Leen_SILVER.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,38.88,51.25,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Descent,Descent - Frosted,Color Way,AD320-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Descent_Frosted.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,130,118,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Descent,Descent - Inkwell,Color Way,AD320-2,,,https://s3.amazonaws.com/astek/Crystalline/AD320-2.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,130,118,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Descent,Descent - Night,Color Way,AD320-3,,,https://s3.amazonaws.com/astek/Crystalline_Descent_Night.jpg,6.50,Square Foot,1,1,,Black and White,White Mylar,,,,,,130,118,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Empire,Empire - Envy,Color Way,AD312-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Empire_Envy.jpg,6.50,Square Foot,1,1,,Green,White Mylar,,,,,,134.133,108,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Empire,Empire - Malevolent,Color Way,AD312-2,,,https://s3.amazonaws.com/astek/Crystalline/AD312-2.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,134.133,108,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Empire,Empire - Royale,Color Way,AD312-3,,,https://s3.amazonaws.com/astek/Crystalline/AD312-3.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,134.133,108,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Fragment,Fragment - Gossamer,Color Way,AD313-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Fragment_Gossamer.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,130,118,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Fragement,Fragement - Moss,Color Way,AD313-2,,,https://s3.amazonaws.com/astek/Crystalline/AD313-2.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,130,118,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Fragement,Fragement - Velvet,Color Way,AD313-3,,,https://s3.amazonaws.com/astek/Crystalline/AD313-3.jpg,6.50,Square Foot,1,1,,Red,White Mylar,,,,,,130,118,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Keystone,Keystone - Borealis,Color Way,AD314-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Keystone_Borealis.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,120,120,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
