websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17919,17919,17919,Master,17919,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17919.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17919_install.jpg,72.90,Roll,1,1,"Faux Finish,Animalia",Brown,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17920,17920,17920,Master,17920,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17920.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",White,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17921,17921,17921,Master,17921,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17921.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Brown,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17922,17922,17922,Master,17922,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17922.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Brown,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17923,17923,17923,Master,17923,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17923.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia","Blue, Brown",,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17924,17924,17924,Master,17924,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17924.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Beige,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17925,17925,17925,Master,17925,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17925.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Beige,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17926,17926,17926,Master,17926,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17926.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Grey,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17927,17927,17927,Master,17927,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17927.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Red,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17928,17928,17928,Master,17928,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17928.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Blue,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17929,17929,17929,Master,17929,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17929.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Purple,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17930,17930,17930,Master,17930,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17930.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Beige,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17931,17931,17931,Master,17931,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17931.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Grey,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17932,17932,17932,Master,17932,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17932.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17932_install.jpg,72.90,Roll,1,1,"Faux Finish,Animalia",Orange,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17933,17933,17933,Master,17933,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17933.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Brown,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17934,17934,17934,Master,17934,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17934.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Grey,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17935,17935,17935,Master,17935,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17935.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Green,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17936,17936,17936,Master,17936,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17936.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Blue,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17937,17937,17937,Master,17937,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17937.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Brown,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17938,17938,17938,Master,17938,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17938.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Silver,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Curious,17939,17939,17939,Master,17939,,"texture, textured, textural, mottled, tonal, faux finish",https://s3-us-west-2.amazonaws.com/astek-product-images/Curious/17939.jpg,,72.90,Roll,1,1,"Faux Finish,Animalia",Gold,,Paper,20.5,11,,,,,,,Offset,,3,Paste the Wall,Strippable,Scrubbable,Very Good,Class A,,,No
