websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_width_centimeters,roll_length_yards,roll_length_meters,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Clear - Glossy,200-0112,Clear - Glossy,Master,200-0112,,"transparent, Clear, glossy",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0112.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0112_install.jpg,60.00,Roll,1,1,Contemporary,Transparent - Glossy,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Stripes,200-0316,Stripes,Master,200-0316,,"stripe, stripes",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0316.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0316_install.jpg,60.00,Roll,1,1,Stripes + Plaids,"Transparent, Grey",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Snow,200-0907,Snow,Master,200-0907,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0907.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-0907_install.jpg,60.00,Roll,1,1,Faux Finish,"Transpartent, Neutral",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Perl,200-1506,Perl,Master,200-1506,,"circle, dots",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1506.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1506_install.jpg,60.00,Roll,1,1,Geometric,"Grey, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Clear - Matte Finish,200-1962,Clear - Matte Finish,Master,200-1962,,"transparent, Clear, matte",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1962.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-1962_install.jpg,60.00,Roll,1,1,Contemporary,Transparent - Matte,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Circle,200-2031,Circle,Master,200-2031,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2031.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2031_install.jpg,60.00,Roll,1,1,Faux Finish,"Offi-White, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Milky,200-2528,Milky,Master,200-2528,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2528.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2528_install.jpg,60.00,Roll,1,1,Faux Finish,"Offi-White, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Splinter,200-2535,Splinter,Master,200-2535,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2535.jpg,,60.00,Roll,1,1,Faux Finish,"Offi-White, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Smoke ,200-2590,Smoke ,Master,200-2590,,"ripple, smoke, marble",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2590.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2590_install.jpg,60.00,Roll,1,1,Faux Finish,"Grey, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Smoke - Beige,200-2591,Smoke - Beige,Master,200-2591,,"ripple, smoke, marble, beige",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2591.jpg,,60.00,Roll,1,1,Faux Finish,"Beige, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
