websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Damasks,Botanical,AD396,Plush,Color Way,AD396-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD396-1_Botanical_PLUSH.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD396-1_Botanical_PLUSH_install.jpg,7.00,Square Foot,1,1,Damask,Blue,Matte Vinyl,,,,,,50,22.9,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Botanical,AD396,Velour,Color Way,AD396-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD396-2_Botanical_VELOUR.jpg,,7.00,Square Foot,1,1,Damask,Blue,Matte Vinyl,,,,,,50,22.9,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Botanical,AD396,Velveteen,Color Way,AD396-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD396-3_Botanical_VELVETEEN.jpg,,7.00,Square Foot,1,1,Damask,Black and White,Matte Vinyl,,,,,,50,22.9,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Victoria,AD397,Burnt,Color Way,AD397-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD397-1_Victoria_BURNT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD397-1_Victoria_BURNT_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional","Brown, Cream",Matte Vinyl,,,,,,53,26.5,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Victoria,AD397,Overlay,Color Way,AD397-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD397-2_Victoria_OVERLAY.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Blue,Matte Vinyl,,,,,,53,26.5,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Victoria,AD397,Multiply,Color Way,AD397-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD397-3_Victoria_MULTIPLY.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Purple,Matte Vinyl,,,,,,53,26.5,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Supreme,AD398,Grand,Color Way,AD398-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD398-1_Supreme_GRAND.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD398-1_Supreme_GRAND_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Blue,Matte Vinyl,,,,,,41.12,12.6,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Supreme,AD398,Concord,Color Way,AD398-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD398-2_Supreme_CONCORD.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Purple,Matte Vinyl,,,,,,41.12,12.6,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Supreme,AD398,Berry,Color Way,AD398-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD398-3_Supreme_BERRY.jpg,,7.00,Square Foot,1,1,"Damask, Traditional","Pink, Purple",Matte Vinyl,,,,,,41.12,12.6,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Allure,AD399,Baroque,Color Way,AD399-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD399-1_Allure_BAROQUE.jpg,,7.00,Square Foot,1,1,Damask,Green,Matte Vinyl,,,,,,52,34.7,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Allure,AD399,Ornate,Color Way,AD399-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD399-2_Allure_ORNATE.jpg,,7.00,Square Foot,1,1,Damask,Brown,Matte Vinyl,,,,,,52,34.7,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
