websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Omni,Specialty,Metallic,Decadent,DE522,DE522,,DE522,Master,DE522,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE522.jpg,34.05,Yard,1,10,"Texural, Contemporary",Bronze,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE520,DE520,,DE520,Master,DE520,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE520.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE521,DE521,,DE521,Master,DE521,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE521.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE523,DE523,,DE523,Master,DE523,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE523.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE533,DE533,,DE533,Master,DE533,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE533.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE531,DE531,,DE531,Master,DE531,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE531.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE537,DE537,,DE537,Master,DE537,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE537.jpg,34.05,Yard,1,10,"Texural, Contemporary",Bronze,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE535,DE535,,DE535,Master,DE535,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE535.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE536,DE536,,DE536,Master,DE536,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE536.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE532,DE532,,DE532,Master,DE532,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE532.jpg,34.05,Yard,1,10,"Texural, Contemporary",Blue,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE534,DE534,,DE534,Master,DE534,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE534.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE515,DE515,,DE515,Master,DE515,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE515.jpg,34.05,Yard,1,10,"Texural, Contemporary",Black,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE510,DE510,,DE510,Master,DE510,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE510.jpg,34.05,Yard,1,10,"Texural, Contemporary",Bronze,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE514,DE514,,DE514,Master,DE514,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE514.jpg,34.05,Yard,1,10,"Texural, Contemporary",Red,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE508,DE508,,DE508,Master,DE508,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE508.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE513,DE513,,DE513,Master,DE513,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE513.jpg,34.05,Yard,1,10,"Texural, Contemporary",Grey,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE511,DE511,,DE511,Master,DE511,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE511.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE509,DE509,,DE509,Master,DE509,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE509.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE512,DE512,,DE512,Master,DE512,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE512.jpg,34.05,Yard,1,10,"Texural, Contemporary",White,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE527,DE527,,DE527,Master,DE527,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE527.jpg,34.05,Yard,1,10,"Texural, Contemporary",Black,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE524,DE524,,DE524,Master,DE524,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE524.jpg,34.05,Yard,1,10,"Texural, Contemporary",Red,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE525,DE525,,DE525,Master,DE525,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE525.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE526,DE526,,DE526,Master,DE526,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE526.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE529,DE529,,DE529,Master,DE529,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE529.jpg,34.05,Yard,1,10,"Texural, Contemporary",White,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE530,DE530,,DE530,Master,DE530,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE530.jpg,34.05,Yard,1,10,"Texural, Contemporary",Blue,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE528,DE528,,DE528,Master,DE528,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE528.jpg,34.05,Yard,1,10,"Texural, Contemporary",White,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE519,DE519,,DE519,Master,DE519,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE519.jpg,34.05,Yard,1,10,"Texural, Contemporary",Black,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE517,DE517,,DE517,Master,DE517,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE517.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
