websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D801,,,Master,D801,,"herringbone, chevron, sparkle, glitz, glitter, shine, sheen, shiny, luxe, mica, mineral, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D801_web.jpg,299.00,Roll,1,1,"Contemporary, Textural",Off-White,,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D802,,,Master,D802,,"herringbone, chevron, sparkle, glitz, glitter, shine, sheen, shiny, luxe, mica, mineral, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D802_web.jpg,299.00,Roll,1,1,"Contemporary, Textural",Gold,,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D803,,,Master,D803,,"herringbone, chevron, sparkle, glitz, glitter, shine, sheen, shiny, luxe, mica, mineral, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D803_web.jpg,299.00,Roll,1,1,"Contemporary, Textural",Bronze,,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D804,,,Master,D804,,"herringbone, chevron, sparkle, glitz, glitter, shine, sheen, shiny, luxe, mica, mineral, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D804_web.jpg,299.00,Roll,1,1,"Contemporary, Textural","Grey, Black, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D805,,,Master,D805,,"wavy, ripple, organic, shine, sheen, shiny, glitz, mineral, mica, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D805_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid",Off-White,,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D806,,,Master,D806,,"wavy, ripple, organic, shine, sheen, shiny, glitz, mineral, mica, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D806_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Neutral, Gold",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D807,,,Master,D807,,"wavy, ripple, organic, shine, sheen, shiny, glitz, mineral, mica, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D807_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Black, Grey, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D808,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D808_room_web.jpg,,Master,D808,,"wavy, ripple, organic, shine, sheen, shiny, glitz, mineral, mica, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D808_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Black, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D809,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D809_room_web.jpg,,Master,D809,,"grid, checkered, checked, square, squares, geometric, block, graphic, mineral, mica, shine, shiny, sheen, shine, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D809_web.jpg,299.00,Roll,1,1,"Contemporary, Textural","Silver, Off-White",,Paper,36,11,,,,,,1.97,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D810,,,Master,D810,,"grid, checkered, checked, square, squares, geometric, block, graphic, mineral, mica, shine, shiny, sheen, shine, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D810_web.jpg,299.00,Roll,1,1,"Contemporary, Textural","Silver, Grey",,Paper,36,11,,,,,,1.97,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D811,,,Master,D811,,"grid, checkered, checked, square, squares, geometric, block, graphic, mineral, mica, shine, shiny, sheen, shine, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D811_web.jpg,299.00,Roll,1,1,"Contemporary, Textural",Bronze,,Paper,36,11,,,,,,1.97,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D812,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D812_room_web.jpg,,Master,D812,,"grid, checkered, checked, square, squares, geometric, block, graphic, mineral, mica, shine, shiny, sheen, shine, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D812_web.jpg,299.00,Roll,1,1,"Contemporary, Textural","Black, Silver",,Paper,36,11,,,,,,1.97,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D813,,,Master,D813,,"pinstripe, sheen, shine, shiny, shine, luxe, mineral, mica, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D813_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Cream, Beige",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D814,,,Master,D814,,"pinstripe, sheen, shine, shiny, shine, luxe, mineral, mica, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D814_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Neutral, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D815,,,Master,D815,,"pinstripe, sheen, shine, shiny, shine, luxe, mineral, mica, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D815_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Neutral, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D816,,,Master,D816,,"pinstripe, sheen, shine, shiny, shine, luxe, mineral, mica, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D816_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Brown, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D817,,,Master,D817,,"pinstripe, sheen, shine, shiny, shine, luxe, mineral, mica, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D817_web.jpg,299.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Silver, Grey, ",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D818,,,Master,D818,,"gradient, shading, line, fade, shine, shiny, sheen, shine",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D818_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Black, Silver, Grey",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D819,,,Master,D819,,"gradient, shading, line, fade, shine, shiny, sheen, shine",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D819_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Gold, Brown",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D820,,,Master,D820,,"gradient, shading, line, fade, shine, shiny, sheen, shine",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D820_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Stripes + Plaid","Brown, Silver",,Paper,36,11,,,,,,,Random,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D821,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D821_room_web.jpg,,Master,D821,,"criss cross, pinstripe, diamond, stridation, crosshatch, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D821_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Silver, Brown, Beige",,Paper,36,11,,,,,,23.62,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D822,,,Master,D822,,"criss cross, pinstripe, diamond, stridation, crosshatch, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D822_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Brown, Silver",,Paper,36,11,,,,,,23.62,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D823,,,Master,D823,,"criss cross, pinstripe, diamond, stridation, crosshatch, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D823_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Gold, Brown",,Paper,36,11,,,,,,23.62,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D824,,,Master,D824,,"square, squares, diamonds, tile, mosaic, shapes, cubes, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D824_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Geometric","Silver, Grey, Black",,Paper,36,11,,,,,,18.11,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D825,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D825_room_web.jpg,,Master,D825,,"square, squares, diamonds, tile, mosaic, shapes, cubes, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D825_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Geometric","Gold, Brown,",,Paper,36,11,,,,,,18.11,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D826,,,Master,D826,,"square, squares, diamonds, tile, mosaic, shapes, cubes, shine, shiny, sheen, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D826_web.jpg,199.00,Roll,1,1,"Contemporary, Textural, Geometric","Brown, Bronze",,Paper,36,11,,,,,,18.11,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D827,https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D827_room_web.jpg,,Master,D827,,"mottled, mottling, grunge, grit, tarnished, shade, rust, patina",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D827_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Grey, Silver, Beige",,Paper,36,11,,,,,,9.06,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D828,,,Master,D828,,"mottled, mottling, grunge, grit, tarnished, shade, rust, patina",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D828_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","White, Silver, Gold",,Paper,36,11,,,,,,9.06,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D829,,,Master,D829,,"mottled, mottling, grunge, grit, tarnished, shade, rust, patina",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D829_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Brown, Silver, Cream",,Paper,36,11,,,,,,9.06,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D830,,,Master,D830,,"mottled, mottling, grunge, grit, tarnished, shade, rust, patina",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D830_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Gold, Silver",,Paper,36,11,,,,,,9.06,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D831,,,Master,D831,,"mottled, mottling, grunge, grit, tarnished, shade, rust, patina",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D831_web.jpg,199.00,Roll,1,1,"Contemporary, Textural","Blue, Brown, Silver",,Paper,36,11,,,,,,9.06,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D832,,,Master,D832,,"mosaic, tile, tiled, shine, sheen, shiny, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D832_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Silver, Brown",,Paper,36,11,,,,,,24.01,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D833,,,Master,D833,,"mosaic, tile, tiled, shine, sheen, shiny, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D833_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Bronze, Brown",,Paper,36,11,,,,,,24.01,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D834,,,Master,D834,,"mosaic, tile, tiled, shine, sheen, shiny, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D834_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Gold, Brown",,Paper,36,11,,,,,,24.01,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D835,,,Master,D835,,"mosaic, tile, tiled, shine, sheen, shiny, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D835_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Bronze, Brown",,Paper,36,11,,,,,,24.01,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D836,,,Master,D836,,"crinkle, shine, sheen, shiny, rock, cracks, crevaces, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D836_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Gold, Brown",,Paper,36,11,,,,,,20.47,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D837,,,Master,D837,,"crinkle, shine, sheen, shiny, rock, cracks, crevaces, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D837_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Brown, Bronze",,Paper,36,11,,,,,,20.47,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
"A,H",P&W ,3-6 weeks,"Specialty, Naturals",Textured,Desire,,D838,,,Master,D838,,"crinkle, shine, sheen, shiny, rock, cracks, crevaces, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Desire/D838_web.jpg,347.00,Roll,1,1,"Contemporary, Textural","Black, Silver",,Paper,36,11,,,,,,20.47,Straight,,14,Paste the Wall,,Dust,Good,Class A,,,No
