websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name_old,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Digital Library,Twitterpated,AD455,,,Blossom,Color Way,AD455-1,,"bird, floral, branch, branches, blossom",https://s3-us-west-2.amazonaws.com/astek-product-images/Twitterpated_Blossom.jpg,6.50,Square Foot,1,1,"Traditional, Botanical",Blue,Matte Vinyl,,,,,,17.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Twitterpated,AD455,,,Meadow,Color Way,AD455-2,,"bird, floral, branch, branches, blossom",https://s3-us-west-2.amazonaws.com/astek-product-images/Twitterpated_Meadow.jpg,6.50,Square Foot,1,1,"Traditional, Botanical",Green,Matte Vinyl,,,,,,17.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Twitterpated,AD455,,,Prince,Color Way,AD455-3,,"bird, floral, branch, branches, blossom",https://s3-us-west-2.amazonaws.com/astek-product-images/Twitterpated_Prince.jpg,6.50,Square Foot,1,1,"Traditional, Botanical",Black,Matte Vinyl,,,,,,17.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Tropicali,AD442,,,Camo,Color Way,AD442-1,,"leaves, watercolor, collage, banana leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Tropicali_Camo_web.jpg,6.50,Square Foot,1,1,"Tropical, Botanical, Illustrative","Orange, Brown",Matte Vinyl,,,,,,25.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Tropicali,AD442,,,Luscious,Color Way,AD442-2,,"leaves, watercolor, collage, banana leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Tropicali_Luscious_web.jpg,6.50,Square Foot,1,1,"Tropical, Botanical, Illustrative",Green,Matte Vinyl,,,,,,25.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Tropicali,AD442,,,Twilight,Color Way,AD442-3,,"leaves, watercolor, collage, banana leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Tropicali_Twilight_web.jpg,6.50,Square Foot,1,1,"Tropical, Botanical, Illustrative",Purple,Matte Vinyl,,,,,,25.5,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Floral Toile,AD018,,,Acid,Color Way,AD018-1,,"floral, flower, nature, neon",https://s3-us-west-2.amazonaws.com/astek-product-images/AD018_1_FloralToile_Acid_web.jpg,6.50,Square Foot,1,1,Botanical,"Green, Black",Matte Vinyl,,,,,,40.5,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Floral Toile,AD018,,,Pocelain,Color Way,AD018-2,,"floral, flower, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/AD018_2_FloralToile_Porcelain_web.jpg,6.50,Square Foot,1,1,Botanical,Blue,Matte Vinyl,,,,,,40.5,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Floral Toile,AD018,,,Bordeaux,Color Way,AD018-3,,"floral, flower, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/AD018_3_FloralToile_Bordeaux_web.jpg,6.50,Square Foot,1,1,Botanical,Orange,Matte Vinyl,,,,,,40.5,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Poppycock,AD010,,,Springtime,Color Way,AD010-1,,"floral, flower, nature, poppy",https://s3-us-west-2.amazonaws.com/astek-product-images/AD010_1_POPPYCOCK_SPRINGTIME_web.jpg,6.50,Square Foot,1,1,Botanical,Green,Matte Vinyl,,,,,,27,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
