websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Digital Library,Flipped Fans,AD001,Draft,Color Way,AD001-1,,"graphic, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD001-1_Flipped_Fans_DRAFT.jpg,,6.50,Square Foot,1,1,Geometric,Pink,Matte Vinyl,,,,,,,,4.6,4.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Flipped Fans,AD001,Palm,Color Way,AD001-2,,"graphic, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD001-2_Flipped_Fans_PALM.jpg,,6.50,Square Foot,1,1,Geometric,Green,Matte Vinyl,,,,,,,,4.6,4.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Flipped Fans,AD001,Vane,Color Way,AD001-3,,"graphic, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD001-3_Flipped_Fans_VANE.jpg,,6.50,Square Foot,1,1,Geometric,Purple,Matte Vinyl,,,,,,,,4.6,4.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Glam Rock Ikat,AD008,Jewel,Color Way,AD008-1,,"ikat, textile, fabric, dyed, zig zag",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD008-1_Glam_Rock_Ikat_JEWEL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD008_1-Glam_Rock_Ikat_JEWEL_install.jpg,6.50,Square Foot,1,1,Contemporary,"Brown, Multi",Matte Vinyl,,,,,,,,26,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Glam Rock Ikat,AD008,Tropic,Color Way,AD008-2,,"ikat, textile, fabric, dyed, zig zag",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD008-2_Glam_Rock_Ikat_TROPIC.jpg,,6.50,Square Foot,1,1,Contemporary,"Green, Multi",Matte Vinyl,,,,,,,,26,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Glam Rock Ikat,AD008,Calm,Color Way,AD008-3,,"ikat, textile, fabric, dyed, zig zag",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD008-3_Glam_Rock_Ikat_CALM.jpg,,6.50,Square Foot,1,1,Contemporary,"Green, Purple, Multi",Matte Vinyl,,,,,,,,26,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Poppycock,AD010,Springtime,Color Way,AD010-1,,"floral, flower, nature, poppy",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD010-1_Poppycock_SPRINGTIME.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD010-1_Poppycock_SPRINGTIME_install.jpg,6.50,Square Foot,1,1,Botanical,Green,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Poppycock,AD010,Smoke,Color Way,AD010-2,,"floral, flower, nature, poppy",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD010-2_Poppycock_SMOKE.jpg,,6.50,Square Foot,1,1,Botanical,Grey,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Poppycock,AD010,Rouge,Color Way,AD010-3,,"floral, flower, nature, poppy",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD010-3_Poppycock_ROUGE.jpg,,6.50,Square Foot,1,1,Botanical,Red,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Aspen Tree,AD014,Teal,Color Way,AD014-1,,"tree, trees, forest, trunk, halftone",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD014-1_Aspen_Tree_TEAL.jpg,,6.50,Square Foot,1,1,"Botanical, Contemporary",Blue,Matte Vinyl,,,,,,,,25,22,Straight,50,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
