websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Digital Library,Diamond Stripes,AD005,Brown,Color Way,AD005-1,,"diamond, stripe, geometric, lines",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD005-1_Diamond_Stripes_BROWN.jpg,,6.50,Square Foot,1,30,Geometric,Brown ,Matte Vinyl,,,,,,,,21,21,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Diamond Stripes,AD005,Grey,Color Way,AD005-2,,"diamond, stripe, geometric, lines",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD005-2_Diamond_Stripes_GREY.jpg,,6.50,Square Foot,1,30,Geometric,Grey,Matte Vinyl,,,,,,,,21,21,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Diamond Stripes,AD005,Blue,Color Way,AD005-3,,"diamond, stripe, geometric, lines",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD005-3_Diamond_Stripes_BLUE.jpg,,6.50,Square Foot,1,30,Geometric,"Blue, Grey, Multi",Matte Vinyl,,,,,,,,21,21,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Banana Leaf,AD013,Cavendish,Color Way,AD013-1,,"leaf, leaves, plant, foliage, painted, illustrative, banana leaf, palm",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD013-1_Banana_Leaf_CAVENDISH.jpg,,6.50,Square Foot,1,30,Tropical,Green,Matte Vinyl,,,,,,,,50,49.4,Repeating Panel,100,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Banana Leaf,AD013,Burro,Color Way,AD013-2,,"leaf, leaves, plant, foliage, painted, illustrative, banana leaf, palm",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD013-2_Banana_Leaf_BURRO.jpg,,6.50,Square Foot,1,30,Tropical,Green,Matte Vinyl,,,,,,,,50,49.4,Repeating Panel,100,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Banana Leaf,AD013,Manzano,Color Way,AD013-3,,"leaf, leaves, plant, foliage, painted, illustrative, banana leaf, palm",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD013-3_Banana_Leaf_MANZANO.jpg,,6.50,Square Foot,1,30,Tropical,Green,Matte Vinyl,,,,,,,,50,49.4,Repeating Panel,100,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Illusion,AD050,Black ,Color Way,AD050-1,,"circles, ovals, mod",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD050-1_Illusion_BLACK.jpg,,6.50,Square Foot,1,30,Geometric,Black,Matte Vinyl,,,,,,,,13,16,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Illusion,AD050,Grey,Color Way,AD050-2,,"circles, ovals, mod",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD050-2_Illusion_GREY.jpg,,6.50,Square Foot,1,30,Geometric,Grey,Matte Vinyl,,,,,,,,13,16,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Illusion,AD050,White,Color Way,AD050-3,,"circles, ovals, mod",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD050-3_Illusion_WHITE.jpg,,6.50,Square Foot,1,30,Geometric,White,Matte Vinyl,,,,,,,,13,16,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Diamondback,AD053,Black ,Color Way,AD053-1,,"diamond, shape, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD053-1_Diamondback_BLACK.jpg,,6.50,Square Foot,1,30,Geometric,Black,Matte Vinyl,,,,,,,,6.5,7.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Diamondback,AD053,Navy,Color Way,AD053-2,,"diamond, shape, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD053-2_Diamondback_NAVY.jpg,,6.50,Square Foot,1,30,Geometric,Blue ,Matte Vinyl,,,,,,,,6.5,7.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Diamondback,AD053,White,Color Way,AD053-3,,"diamond, shape, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD053-3_Diamondback_WHITE.jpg,,6.50,Square Foot,1,30,Geometric,White,Matte Vinyl,,,,,,,,6.5,7.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Linked Chains,AD055,Iron,Color Way,AD055-1,,"linked, chains, square, box",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD055-1_Linked_Chains_IROM.jpg,,6.50,Square Foot,1,30,Geometric,Grey,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Linked Chains,AD055,Plum,Color Way,AD055-2,,"linked, chains, square, box",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD055-2_Linked_Chains_PLUM.jpg,,6.50,Square Foot,1,30,Geometric,Purple,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Linked Chains,AD055,Steel,Color Way,AD055-3,,"linked, chains, square, box",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD055-3_Linked_Chains_STEEL.jpg,,6.50,Square Foot,1,30,Geometric,Black,Matte Vinyl,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Digital Library,Honeycomb,AD057,Amber,Color Way,AD057-1,,"hexagon, bee, honey, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD057-1_Honeycomb_AMBER.jpg,,6.50,Square Foot,1,30,Geometric,"Gold, Orange",Matte Vinyl,,,,,,,,52,35,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Digital Library,Honeycomb,AD057,Honey,Color Way,AD057-2,,"hexagon, bee, honey, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD057-2_Honeycomb_HONEY.jpg,,6.50,Square Foot,1,30,Geometric,Yellow,Matte Vinyl,,,,,,,,52,35,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Studio,Digital Library,Honeycomb,AD057,Peach,Color Way,AD057-3,,"hexagon, bee, honey, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD057-3_Honeycomb_PEACH.jpg,,6.50,Square Foot,1,30,Geometric,"Yellow, Orange, Pink",Matte Vinyl,,,,,,,,52,35,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Bauble,AD059,Coral ,Color Way,AD059-1,,"swirl, curl, lines, fleur, swash",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library_pt_5/AD059-1_Bauble_CORAL.jpg,,6.50,Square Foot,1,30,Damask,Pink,Matte Vinyl,,,,,,,,13,18.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
