websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219530,219530,219530,Master,219530,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219530_219530_219530.jpg,,72.90,Roll,1,1,Textural,"Off-White, White",Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219531,219531,219531,Master,219531,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219531_219531_219531.jpg,,72.90,Roll,1,1,Textural,Off-White,Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219532,219532,219532,Master,219532,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219532_219532_219532.jpg,,72.90,Roll,1,1,Textural,Beige,Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219534,219534,219534,Master,219534,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219534_219534_219534.jpg,,72.90,Roll,1,1,Textural,Pink,Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219535,219535,219535,Master,219535,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219535_219535_219535.jpg,,72.90,Roll,1,1,Textural,"Grey, Neutral",Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219536,219536,219536,Master,219536,,"fiber, weave, woven, textile, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219536_219536_219536.jpg,,72.90,Roll,1,1,Textural,Grey,Vinyl ,Paper,20.5,11,,,,,,,,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219540,219540,219540,Master,219540,,"palm, frond, leaves, leaf, shading, shadown, fog, foggy, nature, blur",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219540_219540_219540.jpg,,72.90,Roll,1,1,"Contemporary, Botanical",Neutral,Vinyl ,Paper,20.5,11,,,,,,,Offset,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219541,219541,219541,Master,219541,,"palm, frond, leaves, leaf, shading, shadown, fog, foggy, nature, blur",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219541_219541_219541.jpg,,72.90,Roll,1,1,"Contemporary, Botanical",Beige,Vinyl ,Paper,20.5,11,,,,,,,Offset,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219542,219542,219542,Master,219542,,"palm, frond, leaves, leaf, shading, shadown, fog, foggy, nature, blur",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219542_219542_219542.jpg,,72.90,Roll,1,1,"Contemporary, Botanical","Off-White, Grey",Vinyl ,Paper,20.5,11,,,,,,,Offset,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
"A, H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Dimensions,219543,219543,219543,Master,219543,,"palm, frond, leaves, leaf, shading, shadown, fog, foggy, nature, blur",https://s3-us-west-2.amazonaws.com/astek-product-images/Dimensions/219543_219543_219543.jpg,,72.90,Roll,1,1,"Contemporary, Botanical",Neutral,Vinyl ,Paper,20.5,11,,,,,,,Offset,,3,Paste the wall,Strippable,Scrubbable ,Very good ,Class A,,,No
