websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED101,ED101,ED101,Master,ED101,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED101.jpg,,188.50,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED102,ED102,ED102,Master,ED102,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED102.jpg,,188.50,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED103,ED103,ED103,Master,ED103,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED103.jpg,,154.70,Roll,1,1,Textural,"Gold, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED104,ED104,ED104,Master,ED104,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED104.jpg,,188.50,Roll,1,1,Textural,"Silver, Grey",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED105,ED105,ED105,Master,ED105,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED105.jpg,,154.70,Roll,1,1,Textural,Grey,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED106,ED106,ED106,Master,ED106,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED106.jpg,,154.70,Roll,1,1,Textural,"Neutral, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED107,ED107,ED107,Master,ED107,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED107.jpg,,139.10,Roll,1,1,Textural,"White, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED108,ED108,ED108,Master,ED108,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED108.jpg,,139.10,Roll,1,1,Textural,"Cream, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED109,ED109,ED109,Master,ED109,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED109.jpg,,257.40,Roll,1,1,Textural,Gold,,Paper,36,11,,,,,,,,,9,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Mica, Textured",Earthly Delights,ED110,ED110,ED110,Master,ED110,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Earthly_Delights/ED110.jpg,,188.50,Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
