websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET101,ET101,ET101,Master,ET101,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET101.jpg,,165.10,Roll,1,1,Textural,"Neutral, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET102,ET102,ET102,Master,ET102,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET102.jpg,,184.60,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET103,ET103,ET103,Master,ET103,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET103.jpg,,184.60,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET104,ET104,ET104,Master,ET104,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET104.jpg,,184.60,Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET105,ET105,ET105,Master,ET105,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET105.jpg,,241.80,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET106,ET106,ET106,Master,ET106,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET106.jpg,,241.80,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET107,ET107,ET107,Master,ET107,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET107.jpg,,241.80,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET108,ET108,ET108,Master,ET108,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET108.jpg,,278.20,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET109,ET109,ET109,Master,ET109,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET109.jpg,,276.90,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET110,ET110,ET110,Master,ET110,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET110.jpg,,276.90,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET111,ET111,ET111,Master,ET111,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET111.jpg,,150.80,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET112,ET112,ET112,Master,ET112,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET112.jpg,,137.80,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET113,ET113,ET113,Master,ET113,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET113.jpg,,117.00,Roll,1,1,Textural,"Beige, Cream",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET114,ET114,ET114,Master,ET114,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET114.jpg,,156.00,Roll,1,1,Textural,"Beige, Cream",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET115,ET115,ET115,Master,ET115,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET115.jpg,,107.90,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET116,ET116,ET116,Master,ET116,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET116.jpg,,128.70,Roll,1,1,Textural,"Silver, Cream",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET117,ET117,ET117,Master,ET117,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET117.jpg,,107.90,Roll,1,1,Textural,"Brown, Beige",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET118,ET118,ET118,Master,ET118,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET118.jpg,,144.30,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET119,ET119,ET119,Master,ET119,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET119.jpg,,114.40,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET120,ET120,ET120,Master,ET120,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET120.jpg,,114.40,Roll,1,1,Textural,"Silver, Off-White",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET121,ET121,ET121,Master,ET121,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET121.jpg,,114.40,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET122,ET122,ET122,Master,ET122,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET122.jpg,,114.40,Roll,1,1,Textural,"Silver, Beige",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET123,ET123,ET123,Master,ET123,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET123.jpg,,114.40,Roll,1,1,Textural,"Gold, Beige",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET124,ET124,ET124,Master,ET124,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET124.jpg,,93.60,Roll,1,1,Textural,"Silver, Grey",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET125,ET125,ET125,Master,ET125,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET125.jpg,,114.40,Roll,1,1,Textural,"Silver, Cream",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET126,ET126,ET126,Master,ET126,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET126.jpg,,114.40,Roll,1,1,Textural,"Cream, Gold",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET127,ET127,ET127,Master,ET127,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET127.jpg,,114.40,Roll,1,1,Textural,"Grey, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET128,ET128,ET128,Master,ET128,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET128.jpg,,93.60,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET129,ET129,ET129,Master,ET129,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET129.jpg,,114.40,Roll,1,1,Textural,"Gold, Brown",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET130,ET130,ET130,Master,ET130,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET130.jpg,,114.40,Roll,1,1,Textural,"Cream, Gold",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET131,ET131,ET131,Master,ET131,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET131.jpg,,114.40,Roll,1,1,Textural,"Gold, Brown",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Entwine,ET132,ET132,ET132,Master,ET132,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET132.jpg,,93.60,Roll,1,1,Textural,"Grey, Silver",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET133,ET133,ET133,Master,ET133,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET133.jpg,,93.60,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET134,ET134,ET134,Master,ET134,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET134.jpg,,93.60,Roll,1,1,Textural,"White, Off-White",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET135,ET135,ET135,Master,ET135,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET135.jpg,,93.60,Roll,1,1,Textural,"Cream, Off-White",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET136,ET136,ET136,Master,ET136,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET136.jpg,,157.30,Roll,1,1,Textural,"White, Beige",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET137,ET137,ET137,Master,ET137,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET137.jpg,,113.10,Roll,1,1,Textural,"White, Cream",,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET138,ET138,ET138,Master,ET138,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET138.jpg,,113.10,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET139,ET139,ET139,Master,ET139,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET139.jpg,,131.30,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET140,ET140,ET140,Master,ET140,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET140.jpg,,107.90,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET141,ET141,ET141,Master,ET141,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET141.jpg,,93.60,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET142,ET142,ET142,Master,ET142,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET142.jpg,,130.00,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET143,ET143,ET143,Master,ET143,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET143.jpg,,93.60,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET144,ET144,ET144,Master,ET144,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET144.jpg,,93.60,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET145,ET145,ET145,Master,ET145,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET145.jpg,,93.60,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET146,ET146,ET146,Master,ET146,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET146.jpg,,180.70,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET147,ET147,ET147,Master,ET147,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET147.jpg,,93.60,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET148,ET148,ET148,Master,ET148,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET148.jpg,,93.60,Roll,1,1,Textural,Cream,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET149,ET149,ET149,Master,ET149,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET149.jpg,,93.60,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Entwine,ET150,ET150,ET150,Master,ET150,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Entwine/ET150.jpg,,93.60,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,Paste the Paper,Strippable,,Good,Class A,,,No
