websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price_code,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured, Mica",Essential Roots,ER101,ER101,Mica and Paper Twine - Bronze,Master,ER101,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER101_ER101_MICAANDPAPERTWINEBRONZE.jpg,,P,722.00,Roll,1,1,Textural,"Bronze, Brown",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER102,ER102,Banana Bark and Paper Twine - Pearlescent,Master,ER102,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER102_ER102_BANANABARKANDPAPERTWINEPEARLESCENT.jpg,,P,722.00,Roll,1,1,Textural,"Multi, Neutral, Silver, Cream, Purple",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER103,ER103,Water Hyacinth - Tan,Master,ER103,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER103_ER103_WATERHYACINTHTAN.jpg,,O,684.00,Roll,1,1,Textural,Brown,,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER104,ER104,Water Hyacinth - Natural Large,Master,ER104,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER104_ER104_WATERHYACINTHNATURALLARGE.jpg,,O,684.00,Roll,1,1,Textural,"Brown, Beige",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER105,ER105,Water Hyacinth - Natural Small,Master,ER105,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER105_ER105_WATERHYACINTHNATURALSMALL.jpg,,P,722.00,Roll,1,1,Textural,"Brown, Beige",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER106,ER106,Water Hyacinth - Sienna,Master,ER106,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER106_ER106_WATERHYACINTHSIENNA.jpg,,P,722.00,Roll,1,1,Textural,"Brown, Pink",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER107,ER107,Water Hyacinth - Butter Cream,Master,ER107,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER107_ER107_WATERHYACINTHBUTTERCREAM.jpg,,O,684.00,Roll,1,1,Textural,Beige,,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER108,ER108,Hyacinth - Brown,Master,ER108,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER108_ER108_HYACINTHBROWN.jpg,,L,470.00,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER109,ER109,Hyacinth - Chocolate Brown,Master,ER109,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER109_ER109_HYACINTHCHOCOLATEBROWN.jpg,,L,470.00,Roll,1,1,Textural,Brown,,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER110,ER110,Hyacinth - Shimmery Pearl,Master,ER110,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER110_ER110_HYACINTHSHIMMERYPEARL.jpg,,L,470.00,Roll,1,1,Textural,Beige,,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER111,ER111,Hyacinth - Seagreen,Master,ER111,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER111_ER111_HYACINTHSEAGREEN.jpg,,L,470.00,Roll,1,1,Textural,Green,,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER112,ER112,Abaca - Dark Grey,Master,ER112,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER112_ER112_ABACADARKGREY.jpg,,M,491.00,Roll,1,1,Textural,Grey,,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER113,ER113,Abaca - Light Grey,Master,ER113,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER113_ER113_ABACALIGHTGREY.jpg,,M,491.00,Roll,1,1,Textural,Grey,,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER114,ER114,Manila Hemp - Tan,Master,ER114,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER114_ER114_MANILAHEMPTAN.jpg,,N,625.00,Roll,1,1,Textural,Neutral,,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER115,ER115,Manila Hemp - Beige,Master,ER115,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER115_ER115_MANILAHEMPBEIGE.jpg,,N,625.00,Roll,1,1,Textural,"Cream, Beige",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER116,ER116,Manila Hemp - Cream,Master,ER116,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER116_ER116_MANILAHEMPCREAM.jpg,,N,625.00,Roll,1,1,Textural,"Beige, Cream",,Paper,36,12,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER117,ER117,Sisal - Ivory on Gold,Master,ER117,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER117_ER117_SISALIVORYONGOLD.jpg,,I,260.00,Roll,1,1,Textural,"Gold, ",,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Grasscloth, Textured",Essential Roots,ER118,ER118,Sisal - Copper Gold,Master,ER118,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Essential_Roots/ER118_ER118_SISALCOPPERGOLD.jpg,,I,260.00,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,,,,,5,,Strippable,,Good,Class A,,,No
