websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1030,E1030,,E1030,Master,E1030,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1030_web.jpg,135.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1032,E1032,,E1032,Master,E1032,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1032_web.jpg,135.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1533,E1533,,E1533,Master,E1533,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1533_web.jpg,135.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1534,E1534,,E1534,Master,E1534,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1534_web.jpg,135.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1537,E1537,,E1537,Master,E1537,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1537_web.jpg,135.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E1539,E1539,,E1539,Master,E1539,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E1539_web.jpg,135.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E2170,E2170,,E2170,Master,E2170,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E2170_web.jpg,145.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E2171,E2171,,E2171,Master,E2171,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E2171_web.jpg,145.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E2200,E2200,,E2200,Master,E2200,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E2200_web.jpg,145.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E2230,E2230,,E2230,Master,E2230,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E2230_web.jpg,145.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
