websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-01,FM-01,,FM-01,Master,FM-01,,"metal, metallic, shine, handcrafted, copper, bronze, copper leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-01_web.jpg,"1,077.75",Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-02,FM-02,,FM-02,Master,FM-02,,"metal, metallic, shine, handcrafted, copper, bronze, copper leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-02_web.jpg,"1,077.52",Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-03,FM-03,,FM-03,Master,FM-03,,"metal, metallic, shine, handcrafted, copper, bronze, copper leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-03_web.jpg,"1,077.52",Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-04,FM-04,,FM-04,Master,FM-04,,"metal, metallic, shine, handcrafted, copper, bronze, copper leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-04_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-05,FM-05,,FM-05,Master,FM-05,,"metal, metallic, shine, handcrafted, copper, bronze, copper leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-05_web.jpg,"1,077.52",Roll,1,1,Textural,Bronze,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-06,FM-06,,FM-06,Master,FM-06,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-06_web.jpg,"1,327.04",Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-07,FM-07,,FM-07,Master,FM-07,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-07_web.jpg,"1,244.10",Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-08,FM-08,,FM-08,Master,FM-08,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-08_web.jpg,"1,077.52",Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-09,FM-09,,FM-09,Master,FM-09,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-09_web.jpg,995.28,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-10,FM-10,,FM-10,Master,FM-10,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-10_web.jpg,995.28,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
