websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF101,AF101,AF101,Master,AF101,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF101_web.jpg,,360.00,Roll,1,1,"textural, contemporary",Gold,,Paper,36,6,,,,,,,,,9,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF102,AF102,AF102,Master,AF102,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF102_web.jpg,,360.00,Roll,1,1,"textural, contemporary",Gold ,,Paper,36,6,,,,,,,,,9,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF103,AF103,AF103,Master,AF103,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF103_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Gold,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF104,AF104,AF104,Master,AF104,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF104_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Grey,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF105,AF105,AF105,Master,AF105,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF105_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Purple ,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF106,AF106,AF106,Master,AF106,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF106_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Pink,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF107,AF107,AF107,Master,AF107,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF107_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Red,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF108,AF108,AF108,Master,AF108,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF108_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Silver,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF109,AF109,AF109,Master,AF109,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF109_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Green,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF110,AF110,AF110,Master,AF110,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF110_web.jpg,,360.00,Roll,1,1,"textural, contemporary",Purple,,Paper,36,6,,,,,,,,,9,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF111,AF111,AF111,Master,AF111,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF111_web.jpg,,360.00,Roll,1,1,"textural, contemporary","Black, Gold",,Paper,36,6,,,,,,,,,9,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF112,AF112,AF112,Master,AF112,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF112_web.jpg,,360.00,Roll,1,1,"textural, contemporary","Blue, Silver",,Paper,36,6,,,,,,,,,9,,Strippable,,,Class A,,,No
"A,H",Rotex,3-6 weeks,Specialty,Metallic,Flash,AF113,AF113,AF113,Master,AF113,,"sparkle, sparkly, sequin, glitter, glam",https://s3-us-west-2.amazonaws.com/astek-product-images/Flash/AF113_web.jpg,,660.00,Roll,1,1,"textural, contemporary",Black,,Paper,36,11,,,,,,,,,15,,Strippable,,,Class A,,,No
