websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Beetle,FP100,Green,Color Way,FP100-1,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-1_Beetle_GREEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-1_Beetle_GREEN_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia",Green,Silver Mylar,,,,,,32,19.2,Straight,48,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Beetle,FP100,Blue,Color Way,FP100-2,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-2_Beetle_BLUE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-2_Beetle_BLUE_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia",Blue,Silver Mylar,,,,,,32,19.2,Straight,48,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Beetle,FP100,Gray,Color Way,FP100-3,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-3_Beetle_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP100-3_Beetle_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia",Grey,Silver Mylar,,,,,,32,19.2,Straight,48,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Butterfly,FP101,Fruit Punch,Color Way,FP101-1,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-1_Butterfly_FRUITPUNCH.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-1_Butterfly_FRUITPUNCH_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia","Pink, Yellow",Matte Vinyl,,,,,,51,82.91,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Butterfly,FP101,Sea Foam,Color Way,FP101-2,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-2_Butterfly_SEAFOAM.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-2_Butterfly_SEAFOAM_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia","Blue, Green",Matte Vinyl,,,,,,51,83,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Butterfly,FP101,Charcoal,Color Way,FP101-3,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-3_Butterfly_CHARCOAL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP101-3_Butterfly_CHARCOAL_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary, Animalia",Grey,Matte Vinyl,,,,,,51,83,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Cinderblock Chevron,FP102,Gray,Master,FP102-1,,"photographic, architectural, faux, contemporary, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP102-1_Cinderblock_Chevron_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP102-1_Cinderblock_Chevron_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Textural, Faux Finish",Grey,Matte Vinyl,,,,,,52,48,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Dry Leaf,FP103,Gray,Master,FP103-1,,"photographic, botanical, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP103-1_Dry_Leaf_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP103-1_Dry_Leaf_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Grey,Matte Vinyl,,,,,,51,95,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,English Rose,FP104,Red,Master,FP104-1,,"photographic, floral, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP104-1_English_Rose_RED.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP104-1_English_Rose_RED_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Red,Matte Vinyl,,,,,,51,95,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,English Rose,FP104,Gray,Master,FP104-2,,"photographic, floral, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP104-2_English_Rose_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP104-2_English_Rose_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Gray,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Ficus,FP105,Green,Master,FP105-1,,"photographic, botanical, nature, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP105-1_Ficus_GREEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP105-1_Ficus_GREEN_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Faux Finish",Green,Matte Vinyl,,,,,,51,96,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Fern,FP106,Green,Master,FP106-1,,"photographic, botanical, nature, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP106-1_Fern_GREEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP106-1_Fern_GREEN_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical, Tropical",Green,Matte Vinyl,,,,,,51,94.877,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Glacier,FP107,Gray,Master,FP107-1,,"photographic, abstract, textural, texture",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP107-1_Glacier_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP107-1_Glacier_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Textural",Grey,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Pool,FP108,Aqua,Master,FP108-1,,"photographic, abstract, water",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP108-1_Pool_AQUA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP108-1_Pool_AQUA_install.jpg,7.00,Square Foot,1,1,"Photographic, Faux Finish",Blue,Matte Vinyl,,,,,,51,95,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Rose Blossom,FP109,Gray,Color Way,FP109-1,,"photographic, nature, insect, modern, bold",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-1_Rose_Blossom_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-1_Rose_Blossom_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Grey,Matte Vinyl,,,,,,40,76,Straight,41,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Rose Blossom,FP109,Magenta,Color Way,FP109-2,,"photographic, floral, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-2_Rose_Blossom_MAGENTA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-2_Rose_Blossom_MAGENTA_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Pink,Matte Vinyl,,,,,,40,76,Straight,41,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Rose Blossom,FP109,Yellow,Color Way,FP109-3,,"photographic, floral, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-3_Rose_Blossom_YELLOW.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP109-3_Rose_Blossom_YELLOW_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Yellow,Matte Vinyl,,,,,,40,76,Straight,41,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Tall Grass,FP110,Gray,Master,FP110-1,,"photographic, botanical, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP110-1_Tall_Grass_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP110-1_Tall_Grass_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Grey,Matte Vinyl,,,,,,51,96,Repeating Mural,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Wheel,FP111,Gray,Master,FP111-1,,"photographic, contemporary, modern",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP111-1_Wheel_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP111-1_Wheel_GRAY_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary",Grey,Silver Mylar,,,,,,51,77,Straight,51,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
