websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,Digital,Studio,From Above,Amargosa,Amargosa - Amber,Color Way,AD330-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD330-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Amargosa,Amargosa - Azurite,Color Way,AD330-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD330-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Amargosa,Amargosa - Ore,Color Way,AD330-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD330-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Canopy,Canopy - Celestite,Color Way,AD331-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD331-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,104.607,76.807,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Canopy,Canopy - Jade,Color Way,AD331-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD331-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,104.607,76.807,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Canopy,Canopy - Quartz,Color Way,AD331-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD331-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,104.607,76.807,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Galena,Galena - Basalt,Color Way,AD332-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD332-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,160,116,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Galena,Galena - Malachite,Color Way,AD332-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD332-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,160,116,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Galena,Galena - Pearl,Color Way,AD332-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD332-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,160,116,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Holocene,Holocene - Hematite,Color Way,AD333-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD333-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,100,66.493,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Holocene,Holocene - Ice,Color Way,AD333-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD333-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,100,66.493,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Holocene,Holocene - Jasper,Color Way,AD333-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD333-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,100,66.493,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Metropolis,Metropolis - Emerald,Color Way,AD334-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD334-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,52,90.445,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Metropolis,Metropolis - Gypsum,Color Way,AD334-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD334-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,52,90.445,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Metropolis,Metropolis - Lapis,Color Way,AD334-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD334-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Blue,Silver Spectre,,,,52,90.445,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Moraine,Moraine - Arete,Color Way,AD335-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD335-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,206.4,118.73,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Moraine,Moraine - Cirque,Color Way,AD335-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD335-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,206.4,118.73,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Moraine,Moraine - Mars,Color Way,AD335-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD335-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,206.4,118.73,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Prism,Prism - Carnelian,Color Way,AD336-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD336-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,76.285,76.246,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Prism,Prism - Garnet,Color Way,AD336-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD336-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Blue,Silver Spectre,,,,76.285,76.246,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Prism,Prism - Zircon,Color Way,AD336-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD336-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,76.285,76.246,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Saratoga,Saratoga - Citrine,Color Way,AD337-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD337-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Saratoga,Saratoga - Lazurite,Color Way,AD337-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD337-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Blue,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Saratoga,Saratoga - Rose Quartz,Color Way,AD337-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD337-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Red,Silver Spectre,,,,144,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Tempest,Tempest - Granite,Color Way,AD338-2,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD338-2.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,178.18,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Tempest,Tempest - Graphite,Color Way,AD338-1,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD338-1.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Black and White,Silver Spectre,,,,178.18,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
A,Astek,Digital,Studio,From Above,Tempest,Tempest - Sapphire,Color Way,AD338-3,,,https://s3-us-west-2.amazonaws.com/dywsitefiles/Astek+Digitals/AD338-3.jpg,6.99,Square Foot,1,1,"Abstract, Painterly",Neutral,Silver Spectre,,,,178.18,120,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
