websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Amargosa,AD330,Amber,Color Way,AD330-1,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD330-1_Amargosa_AMBER.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,144,120,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Amargosa,AD330,Azurite,Color Way,AD330-2,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD330-2_Amargosa_AZURITE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Black and White,Silver Spectre,,,,144,120,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Amargosa,AD330,Ore,Color Way,AD330-3,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD330-3_Amargosa_ORE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,144,120,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Canopy,AD331,Celestite,Color Way,AD331-1,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD331-1_Canopy_CELESTITE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,104.607,76.807,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Canopy,AD331,Jade,Color Way,AD331-2,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD331-2_Canopy_JADE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,104.607,76.807,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Canopy,AD331,Quartz,Color Way,AD331-3,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD331-3_Canopy_QUARTZ.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Black and White,Silver Spectre,,,,104.607,76.807,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Galena,AD332,Basalt,Color Way,AD332-1,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD332-1_Galena_BASALT.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,160,116,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Galena,AD332,Malachite,Color Way,AD332-2,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD332-2_Galena_MALACHITE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,160,116,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Galena,AD332,Pearl,Color Way,AD332-3,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD332-3_Galena_PEARL.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Black and White,Silver Spectre,,,,160,116,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals, Metallic",From Above,Holocene,AD333,Hematite,Color Way,AD333-1,,"aerial, expressionistic, bold, dramatic, impact, drama, metallic, expressive",https://s3-us-west-2.amazonaws.com/astek-product-images/From_Above/AD333-1_Holocene_HEMATITE.jpg,,6.99,Square Foot,1,1,"Abstract, Contemporary",Neutral,Silver Spectre,,,,100,66.493,,,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
