websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Gold,Color Way,GWC100-1,,"tumbleweed, silhouette, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-1_Tumbleweed_GOLD.jpg,,7.50,Square Foot,1,30,"Botanical, Metallic",Gold,Gold Mylar,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Grey,Color Way,GWC100-2,,"tumbleweed, silhouette, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-2_Tumbleeweed_GREY.jpg,,6.50,Square Foot,1,30,Botanical,Grey,Paper,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Natural,Color Way,GWC100-3,,"tumbleweed, natural, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-3_Tumbleweed_NATURAL.jpg,,6.50,Square Foot,1,30,"Botanical, Photographic",White,Paper,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Silver,Color Way,GWC100-4,,"tumbleweed, silhouette, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-4_Tumbleweed_SILVER.jpg,,7.50,Square Foot,1,30,"Botanical, Metallic",Silver,Silver Mylar,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Bronze,Color Way,GWC100-5,,"tumbleweed, natural, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-5_Tumbleweed_BRONZE.jpg,,7.50,Square Foot,1,30,"Botanical, Metallic",Bronze,Silver Mylar,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Tumbleweed,GWC100,Pewter,Color Way,GWC100-6,,"tumbleweed, natural, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC100-6_Tumbleweed_PEWTER.jpg,,7.50,Square Foot,1,30,"Botanical, Metallic",Silver,Silver Mylar,,,,,,,,49.6,27,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Peacock,GWC101,Pink Lemonade,Color Way,GWC101-1,,"peacock, silhouette, elegant, bird, branch, flowers, floral",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC101-1_Peacock_PINKLEMONADE.jpg,,6.50,Square Foot,1,30,"Animalia, Botanical, Scenic + Toile","Pink, Yellow",Paper,,,,,,,,36,55,Half-Drop,36,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Peacock,GWC101,Mustard,Color Way,GWC101-2,,"peacock, silhouette, elegant, bird, branch, flowers, floral",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC101-2_Peacock_MUSTARD.jpg,,6.50,Square Foot,1,30,"Animalia, Botanical, Scenic + Toile",Yellow,Paper,,,,,,,,36,55,Half-Drop,36,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Peacock,GWC101,Lavender,Color Way,GWC101-3,,"peacock, silhouette, elegant, bird, branch, flowers, floral",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC101-3_Peacock_LAVENDER.jpg,,6.50,Square Foot,1,30,"Animalia, Botanical, Scenic + Toile",Purple,Paper,,,,,,,,36,55,Half-Drop,36,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Genevieve White Carter,Peacock,GWC101,Navy,Color Way,GWC101-4,,"peacock, silhouette, elegant, bird, branch, flowers, floral",https://s3-us-west-2.amazonaws.com/astek-product-images/Genevieve_White_Carter/GWC101-4_Peacock_NAVY.jpg,,6.50,Square Foot,1,30,"Animalia, Botanical, Scenic + Toile",Blue,Paper,,,,,,,,36,55,Half-Drop,36,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
