websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Bronze,Color Way,JA100-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-1_Carved_BRONZE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Whitegold,Color Way,JA100-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-2_Carved_WHITEGOLD.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Platinum,Color Way,JA100-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-3_Carved_PLATINUM.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Ash,Color Way,JA100-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-4_Carved_ASH.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Sonora,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Smoke,Color Way,JA100-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-5_Carved_SMOKE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Sonora,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Bone,Color Way,JA100-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-6_Carved_BONE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,White Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Bronze,Color Way,JA101-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-1_Etched_BRONZE.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Silver,Color Way,JA101-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-2_Etched_SILVER.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Sand,Color Way,JA101-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-3_Etched_SAND.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Putty,Color Way,JA101-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-4_Etched_PUTTY.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
